params,sse,elapsed_time_s,best_sse_so_far
"[35.20112185049219, 0.167850270008018, 4.197606792189802, 12.80793960500093, 63.80397660659679, 0.6919286383710935, 0.9624303904998315, 0.09918175219711389, 0.9435909395230743, 0.8480431621912206, 0.37053041774626966, 856948.3233653584, 0.0005223902474859401, 766629.2154176446, 163732.48569717546, 529938.2853179112, 9.081081123806418e-06, 3.4312773374842038e-06, 2.182283125579761, 0.003041426654956578, 168906.23378452318]",5141091949.440906,0.37451124,5141091949.440906
"[23.58843520134237, 0.0007204059938009104, 82.44132388398069, 17.0920090526835, 3.976606006779967, 0.7895305640313995, 0.9513145504164285, 0.06756090638625593, 0.6720807435576821, 0.9884113366296773, 0.6879727747586626, 744741.4141024586, 0.0008517877810754002, 802409.1081251036, 154017.6615945858, 605303.175263284, 4.023399047555711e-06, 2.727335836218487e-06, 1.6679332290757045, 0.0014849906945399484, 93765.16732781593]",29499316.84123821,0.43119645,29499316.84123821
"[36.074143996914714, 0.012130990971449769, 63.31133880818861, 20.05585360596294, 70.04723387920922, 0.9448369633659064, 0.38802657770637994, 0.08842455657878655, 0.2770821511532823, 0.01226485205762591, 0.803223132472691, 662463.7327861865, 0.0009960042355740132, 847640.5806958631, 137952.70351420634, 479245.82832817937, 8.170429484006925e-06, 7.641551761847634e-06, 2.425032020671447, 0.008588542042718179, 120507.69847972611]",1289874635988.1143,0.49890804,29499316.84123821
"[46.963472079649684, 0.001671935991827673, 80.92076527055406, 7.229939907322963, 50.24932456580658, 0.6712453368331283, 0.5180342718398718, 0.06631948213903721, 0.7668419551485753, 0.561990455455576, 0.8321694701119375, 768420.0375411755, 0.0005132909089529511, 896913.2872537578, 207714.0687160112, 540695.5319828538, 9.179283955580923e-06, 5.235822182225479e-06, 0.8525337747935382, 0.004030148544576901, 88772.54636543024]",17917665.90545429,0.56746268,17917665.90545429
"[39.25663641710882, 0.04857469271485056, 92.00356019373979, 9.746594733499785, 13.925823660207756, 0.3087442326363386, 0.7302521414195166, 0.024750990910595256, 0.1712276784198692, 0.381920418996768, 0.49905984188504915, 811336.8415864287, 0.0008336620858362053, 954058.7684391608, 174684.99852127998, 565974.0134201071, 9.0729430211983e-06, 5.074690190759917e-06, 2.1724114894936486, 0.002416730044490029, 84839.54673792969]",12971469.00303026,0.64464593,12971469.00303026
"[49.829048278064015, 0.13290223701202575, 46.379655719473696, 33.09949983756315, 97.12340481123364, 0.020326250736933872, 0.7001605327146865, 0.09495265716683471, 0.8206120218564902, 0.3351504764701957, 0.9290206226995618, 709936.1635478153, 0.0006434293573817087, 772134.2824544271, 103515.85704371419, 434486.2979674468, 9.453541118570165e-06, 8.582249230336529e-06, 2.6164530959598937, 0.00305931338488656, 118475.80630084273]",595415.68369641,0.71865344,595415.68369641
"[49.83849857767522, 0.0005864981341001413, 53.3854177186581, 13.589022527235256, 76.24433381278317, 0.727130021350648, 0.8264963648886049, 0.05337966510274325, 0.8214380854010316, 0.39345528070144864, 0.7544313397815688, 684135.1849945438, 0.0006787394454019137, 875179.0581215022, 84596.47283859871, 538303.0838907936, 2.682904296941651e-06, 7.2490564027849766e-06, 0.9980124537521604, 0.005611468697489623, 81672.1821343753]",4049059811.839735,1.68429017,595415.68369641
"[24.66009559437836, 0.07153694705601074, 61.30630054240577, 38.673786847574846, 8.170916434488122, 0.2652808157127778, 0.7004710977851866, 0.014334063747299095, 0.5695626990628223, 0.1066476369961577, 0.9587873756150146, 832874.3845315251, 0.00031329014152044595, 967710.0844738865, 150694.1508371874, 552678.5449483979, 7.276903685251839e-06, 6.69315473093621e-06, 1.4810765514823112, 0.006773862959221922, 94406.75212495646]",12887829.25332142,2.58896041,595415.68369641
"[42.68809884486936, 0.0006198135359422175, 63.71352922307185, 3.4365835310107844, 22.706347369023707, 0.6280970801508474, 0.830577884182826, 0.029699052528466725, 0.802347845286806, 0.04999745847203822, 0.6847903115348385, 875635.573710739, 0.000881654078824157, 742210.3854035985, 118715.78122247476, 544357.2916424756, 2.2139879276279418e-06, 8.993095491841007e-06, 2.229408351969214, 0.005619633917985168, 77131.91218251779]",353154866903.92255,3.48441863,595415.68369641
"[37.590459104781196, 0.09476229959705468, 72.94200655824616, 11.965380665153742, 51.79012658058852, 0.15962694765928914, 0.1844405661768771, 0.014938329476707268, 0.6707500146570079, 0.556926692950483, 0.3034207674820001, 749002.9231123286, 0.0005972242387305815, 885113.1483309073, 76350.79929993214, 647135.3642743076, 7.488665806306627e-06, 9.499244130502538e-06, 2.063945821621218, 0.0064366706964301065, 59816.35483003969]",12855157.17499261,4.48336601,595415.68369641
"[46.0941781841524, 0.18674143591121495, 87.75407659845874, 47.41642099453786, 33.988773929061324, 0.3688538033188685, 0.2619332306158261, 0.04744128348927976, 0.027780430542660446, 0.010151683677435758, 0.2401793513788545, 701184.2510856953, 0.0005245395386453491, 853795.694200319, 57642.344772320466, 587402.3437321173, 9.52867077437173e-06, 9.977299050637587e-06, 2.7799013256187894, 0.004198844545110156, 78977.37318256203]",41702128788.60144,5.50295591,595415.68369641
"[49.931331605698745, 0.04439850593040515, 81.51287320232134, 31.67568107707499, 23.988778979249055, 0.022719029519725768, 0.41574418436033383, 0.01603273276681551, 0.6524945697986829, 0.3484072805598234, 0.8037211197341759, 715011.3210697426, 0.0004246256497249614, 899276.78325592, 131240.93116045638, 682932.262355094, 9.961277261720012e-06, 2.173993988713828e-06, 3.066298718176943, 0.0038367496404383677, 7488.830287948098]",8455576.5240187,6.54052758,595415.68369641
"[36.85986076572269, 0.006959968849387651, 90.4563994267314, 46.21723147491667, 38.980066553063736, 0.18973653849205502, 0.49366377880345313, 0.017133088767775733, 0.6667248296453476, 0.8964517034918367, 0.8589348259855559, 676719.928337333, 0.0006309126488384803, 845409.2200461894, 162684.0258243754, 569700.0116561044, 8.08336895366738e-06, 9.655874959147625e-06, 1.9415928780423428, 0.002809730531684528, 34226.883041818764]",13937454.5094284,7.58073902,595415.68369641
"[31.55388311836788, 0.28288079711817116, 68.47361684013768, 44.81017625673774, 15.327299850771483, 0.3182504228337352, 0.3729716193431857, 0.0181440596332363, 0.8427030055378744, 0.6363271033557188, 0.8420136845012024, 669207.9504940673, 0.0005067543672226457, 758886.1917634413, 148525.522327804, 665725.3946187536, 9.86060482101896e-06, 4.135363194495377e-06, 4.042648121928728, 0.0030404918532194293, 66780.42889187741]",12632803.42981391,8.64080977,595415.68369641
"[30.94477501628615, 0.01952678901487713, 91.57610213945105, 36.89584248401245, 38.30704398253046, 0.3133430006338603, 0.18692257445802493, 0.04886075234352213, 0.7121195354741666, 0.13986449139040613, 0.03569609396156992, 671531.8803263123, 0.0007937146785808541, 731444.2151871158, 67806.65045060805, 586449.6634851812, 8.187294296048576e-06, 6.896822275505636e-06, 3.5617599650827367, 0.0036785231950253266, 37154.13548533931]",12091011034027.312,9.72358298,595415.68369641
