params,sse,elapsed_time_s,best_sse_so_far
"[25.29360100927457, 0.35539243383685193, 37.48728198340756, 8.445418523667065, 75.93128686250962, 0.4711090681551715, 0.5067057443211775, 0.07385489285499452, 0.3312590224920367, 0.8908271647788937, 0.11144022022411942, 424676.1050111204, 0.00041263565600665905, 162199.50139441938, 597008.3549019129, 715493.4746030829, 4.961092344450083e-07, 4.165529012653932e-06, 3.325844514169573, 0.003836030979296257, 382558.1036383721]",12881206.13983706,0.50935292,12881206.13983706
"[29.401076029764965, 0.04303147108271398, 2.0090701721967736, 45.06897968913643, 20.0824579586342, 0.24224185413008037, 0.9279587770799509, 0.013710954511312625, 0.7230977384091603, 0.13359092100307599, 0.49395293043653943, 583806.7259343805, 0.0002498108371680113, 493920.5799927707, 80918.94024979576, 989605.1108262347, 7.0500939326003245e-06, 7.656412345299748e-06, 1.5771942689382557, 0.008352508511255203, 681505.5242480319]",63022316904.85888,0.57960224,12881206.13983706
"[8.667193857502433, 0.269916723976759, 74.43276706474037, 5.368568903095319, 1.6186044734683245, 0.026664292151086053, 0.7951557633507503, 0.08101321384060738, 0.42187706399405184, 0.029742336508430986, 0.106401302343774, 765811.5330465247, 0.0005435513797565975, 83760.03369958045, 476248.1377254046, 682778.7859131757, 1.2433787854942675e-06, 9.157720447797137e-06, 1.0909705772461011, 0.002710418623367484, 241973.06675328914]",12851854.61995268,0.78500676,12851854.61995268
"[47.334444432753884, 0.27750437189810606, 21.595666083736393, 46.536910110891284, 48.27921669033674, 0.9677570120744518, 0.4151754182833295, 0.04331477491219324, 0.22024502752781389, 0.8148908536502375, 0.018626135198060022, 976239.9912242205, 0.0005899328781932871, 463403.8225206267, 115529.16629852555, 84226.40325007151, 4.1219155080994665e-06, 4.732625286329795e-06, 2.508574673142115, 0.005896608765374897, 806342.3720026697]",12048244.09886156,0.85689831,12048244.09886156
"[46.2926973918252, 0.06700740806845029, 67.17521681659545, 2.2890993668945123, 9.890364195984764, 0.5536896058289352, 0.25535710955800933, 0.09364949634047016, 0.6489139236407551, 0.4170432368369807, 0.04646508142247727, 999785.3827011043, 0.00042752038886696546, 509430.5924931996, 59164.17306537038, 470421.14601431944, 9.625038794728979e-06, 4.6715483651423524e-06, 3.239051952127136, 0.005110713673255987, 786629.3902670911]",11376492.83352883,1.29477024,11376492.83352883
"[40.69578503858574, 0.38038520120086544, 59.064109484716624, 26.856165319552602, 71.22525502429195, 0.41425456886062956, 0.2943563799847673, 0.08460518493081627, 0.29158165208709996, 0.6485600341221606, 0.5799978105121424, 894253.5241017693, 0.0005746300422856605, 655453.6624746994, 131712.12325343775, 619479.3362216463, 7.1642798330027175e-06, 1.4525064052801243e-06, 0.5620855749955278, 0.004530248184346731, 896017.4891561476]",12979394.63390814,1.43217301,11376492.83352883
"[16.525081620879387, 0.4984383136246846, 5.697339686106162, 49.13568005603517, 13.514530769115447, 0.6130368364142114, 0.5607326231920204, 0.05314643842204851, 0.05240148846353797, 0.34343079002003296, 0.12193320507398879, 614652.5940601159, 0.0006744114449956278, 232743.08163573703, 395981.22049337864, 45246.38972753376, 6.856008562589452e-06, 2.8200169304878993e-06, 0.9887883722729354, 0.0016420012287695772, 634687.4143372446]",12978548.90344477,2.05511236,11376492.83352883
"[45.360537862623794, 0.4231408035610948, 38.45364312981926, 11.847869482577847, 15.977510567961287, 0.684503006520331, 0.18363786870565135, 0.06169850753653276, 0.4667597687990025, 0.3229318385786135, 0.5276530777485849, 342517.84059034014, 0.00028642706136069724, 428675.51743379986, 482548.4505051261, 213022.21627512737, 9.904917785501787e-07, 9.71760948089673e-06, 1.1839594473057922, 0.005611058390666109, 136683.52029109604]",12979513.36856299,2.70296788,11376492.83352883
"[26.56892328560581, 0.10941595273522653, 47.21698238602885, 41.09785481655195, 67.80534392591247, 0.2087719564703356, 0.9130637670290962, 0.01969222396346523, 0.2652617639738938, 0.6100669421816688, 0.9021785331178447, 186741.45116483, 0.00016381548781831218, 195272.82594528876, 586793.772284222, 532181.9336404523, 1.6029228099161385e-06, 2.8713157489141514e-07, 4.737871165680834, 0.009443982171362985, 554926.2635269915]",1980369.78461434,3.28107142,1980369.78461434
"[6.943732613255233, 0.005722346282704854, 87.46962985012084, 31.00935511148115, 92.55828763579385, 0.06172880107647851, 0.13090404353552604, 0.01800031174041073, 0.9971325374799043, 0.3838407712058989, 0.4194787660232573, 774750.5207268918, 7.370762116016919e-05, 307923.0654328777, 946819.0773424743, 412538.2202475177, 5.1690035066051675e-06, 5.828427193493419e-06, 4.142900990172819, 0.0021838642482092476, 188000.4776861498]",89068751021374.64,3.41242623,1980369.78461434
