params,sse,elapsed_time_s,best_sse_so_far
"[17.62974564721893, 0.22384234804060765, 27.132883331448955, 42.19012062895451, 52.76108611669247, 0.990937736807144, 0.7241821028730895, 0.07038094474724173, 0.4156367814287708, 0.9758712447987179, 0.3318990511629249, 479400.5231804963, 0.000455444302098274, 931700.6162517244, 950171.9608593825, 642189.6860831259, 5.8725712113511716e-06, 4.035437162911514e-06, 4.041536851706079, 0.003491665900195301, 457256.80754973687]",11885316.98267437,0.50996828,11885316.98267437
"[43.12248713325126, 0.20036123496926161, 37.64362383621256, 48.07798302933664, 24.84631804873392, 0.5078887515503786, 0.6084104809150912, 0.008005994174010482, 0.5437116652794424, 0.531035697703114, 0.6475012044592583, 715251.17876071, 0.00028925070698307745, 798069.331151603, 119465.5272793308, 568777.942446008, 6.806918119666776e-06, 6.390335823730781e-06, 2.3798255752686575, 0.0012506714192753346, 533812.4070082334]",12979294.16487134,0.58978939,11885316.98267437
"[39.74374434704268, 0.44181407365903513, 42.34611625053686, 18.93190159246003, 18.66604753538647, 0.8798816313931144, 0.977531233899311, 0.03088817506385348, 0.50029236327719, 0.46505328834270476, 0.5822421982423819, 114453.2559747973, 0.0008310973105347193, 76931.41074860875, 177967.03411146934, 413163.5219011394, 1.3941094398997181e-06, 3.769196463638312e-06, 4.934775101137991, 0.003277756496047379, 136046.3440686016]",8955600.67051945,0.93278098,8955600.67051945
"[17.06839694441115, 0.19580465385317292, 4.659454030087458, 33.545308067754675, 19.875611308670095, 0.4938923444529679, 0.9298603158443228, 0.09142849836052229, 0.11703581833194972, 0.6039267113949202, 0.13230621257508662, 59073.356661277714, 0.0005818933184894901, 942675.9801130949, 960425.6539003665, 995470.5257809961, 2.460494944454688e-06, 9.195161871065957e-06, 2.3223045292561038, 0.008000591772254873, 704631.9721893882]",12885039.43040407,1.33340311,8955600.67051945
"[33.07376972038771, 0.4196286123249198, 52.19266805299523, 22.56722444033066, 94.73956780240556, 0.3875496552371933, 0.8510844915882854, 0.09289157269512702, 0.05065567254636567, 0.058464844759510894, 0.5051542048743138, 415338.2074904506, 0.0005850498814550801, 872820.4980139163, 393656.9580859333, 827173.7658931448, 8.127126586919556e-06, 5.980192166018234e-06, 2.6579436505202714, 0.009673151108764662, 15975.474179640332]",7756992.87464553,1.77409601,7756992.87464553
"[4.841308420372976, 0.2624770250154245, 87.31496114285626, 4.720926020418072, 6.160210286752972, 0.5632042624198782, 0.8973356095058979, 0.022900041038219607, 0.3049221802654173, 0.48662015146104576, 0.36953206470495487, 586087.8887119541, 0.00020068879239483746, 266374.2335894758, 936825.481321249, 83677.8716505458, 9.351939237200113e-06, 8.887251614758657e-07, 4.263724657995162, 0.009855014111427716, 87412.28530136838]",11415347.53466752,2.03735876,7756992.87464553
"[40.689764974039974, 0.2768407526001537, 95.70256679298255, 3.7344816850972213, 35.191886059096774, 0.7763495074203002, 0.807654750574494, 0.03629396706604645, 0.2790807349337418, 0.5561658123721139, 0.38086145555289186, 72402.9244047824, 0.0007942598236609925, 181824.64632025585, 972824.2273879102, 347048.87996946013, 1.9672591952992645e-06, 5.6218848875520845e-06, 0.7847192620695886, 0.0003243262108251017, 862455.3855089389]",12979532.18401655,2.67348886,7756992.87464553
"[35.69938672045666, 0.4648888344151311, 83.716946878004, 17.771458112334756, 37.97177144202572, 0.09522898357181213, 0.8332788863871616, 0.07251397342105174, 0.1870390726501684, 0.9203982563741692, 0.18061492183804348, 983006.0101295067, 0.00020901468000238352, 438601.6924030989, 2809.9751054686258, 433656.1898153616, 7.742812270645164e-06, 6.180870863995519e-06, 2.55942790045173, 0.0038089295864596508, 975467.1993501378]",12883879.32992776,3.32471037,7756992.87464553
"[14.279392010296279, 0.2987872253595956, 5.5785758944331185, 29.77659854613422, 53.76975227530687, 0.19671822836935982, 0.795000286627382, 0.07695415775699581, 0.7123434559615596, 0.8935785482287932, 0.3239062871360093, 957497.908281041, 7.556751592177472e-05, 829213.653117739, 926308.7859757812, 237328.3357992498, 4.852294598341198e-06, 1.3699229988780805e-06, 2.6075675457991303, 0.003586262856055176, 343262.36188750394]",7683856.89018498,3.93135786,7683856.89018498
"[30.260603715176472, 0.22694782823431658, 69.17313564195588, 27.562026403817033, 30.6049898602112, 0.34614311147478355, 0.1390256592292709, 0.0643310375746186, 0.4352617678796891, 0.8818246726102694, 0.9757878554646927, 314781.4927779139, 0.0007752609247389164, 470644.3052336473, 685015.7973101322, 600118.993778089, 4.418615425126119e-06, 7.081681581336344e-07, 4.47856613143335, 0.00845428038037714, 773812.6159660108]",12904197.0564066,4.05110788,7683856.89018498
"[16.62042964812875, 0.19213248421219511, 97.13049074240755, 10.695059933785926, 81.71320194811832, 0.72052597923428, 0.98596761075832, 0.06038702757792049, 0.48910506855298663, 0.3341062505807398, 0.2388791790127689, 145798.75555505065, 0.0004897572688047641, 49128.33101243433, 500455.6522552462, 585700.9325335964, 8.417351459797271e-06, 8.051269076959654e-06, 3.5061183209108737, 0.0031396392625174406, 595654.6126356319]",1020250.2794575,4.39002085,1020250.2794575
"[12.653279755764384, 0.08363607477471871, 79.69855378538944, 32.93459536457631, 72.20929368238212, 0.8613102287595135, 0.5877756385614369, 0.01547043482497134, 0.20297228756313684, 0.19926038142446637, 0.07893769387804614, 569718.0561282077, 3.335841704792647e-05, 82645.44304384357, 281580.962791798, 544117.8013908949, 1.7629485069079256e-06, 3.6642021815095155e-06, 3.6645416389363668, 0.0055063078579946035, 722500.4396498109]",942296.50909724,4.64174867,942296.50909724
"[8.211090807252933, 0.26905344951425786, 46.114149321147565, 7.164625467351586, 68.91847931389762, 0.9574034563455023, 0.7028322557545335, 0.033553008979326254, 0.8469310719387777, 0.3618673561982186, 0.04642731063182634, 99750.34843991169, 0.0006141072457733618, 333523.4702726403, 366814.4375601198, 553132.3106611953, 5.310174918702486e-07, 2.6360467914203886e-06, 0.6588516292218958, 0.0011322383012659577, 66351.21152840019]",12972742.39848976,4.83094954,942296.50909724
"[35.168926132034045, 0.4778439389700291, 62.74045592262825, 48.87421962323431, 31.866494190216613, 0.8192693050198052, 0.4829582548098682, 0.05662948226897976, 0.6907485393238711, 0.5676577070852444, 0.07980297851438846, 781788.7032710625, 0.0003227931720969485, 565613.1668045273, 402230.1022235718, 153733.36792951814, 6.006328790976647e-08, 3.5686894292285315e-06, 3.0920330327580987, 0.0019255620046300615, 463734.3890000473]",12978770.89553368,5.4673152,942296.50909724
"[41.34775450349938, 0.43711200511639686, 12.065517817307857, 15.176480645518902, 87.5445828246406, 0.18727502904883128, 0.34660857018845753, 0.08372482536169315, 0.8193565310077472, 0.15796050801216371, 0.35742969786645123, 80962.94607547835, 1.3426878159923932e-05, 412487.58315552655, 791821.4244886324, 962623.6405508919, 9.094063144927832e-06, 9.734672513694041e-06, 2.9565192718011257, 0.005845629337999323, 542959.2445901554]",9472856.70919644,6.14797759,942296.50909724
"[3.3164688628702943, 0.30813091105570595, 17.209921566708033, 16.459096499523973, 44.616598941888746, 0.35347258368997686, 0.0631842480984794, 0.08441123050649862, 0.9191924130337153, 0.7986290195208262, 0.05038779601986564, 861308.1009190177, 0.000654733361385039, 222742.65099708582, 910513.2779342858, 252226.169197481, 2.739211942867288e-06, 8.66833130276261e-06, 0.9332594325469692, 0.003915430260223767, 42345.81752754798]",260342505.64094272,6.8092711,942296.50909724
"[39.74374434704268, 0.44181407365903513, 67.51592217703288, 18.93190159246003, 1.0, 0.8798816313931144, 0.977531233899311, 0.05063791280738224, 0.2864155598796895, 0.46505328834270476, 0.5822421982423819, 348315.9179721371, 0.0007879861165970618, 76931.41074860875, 177967.03411146934, 326505.05805817805, 3.784835681680319e-06, 5.552590982570292e-06, 4.454648330538902, 0.003277756496047379, 136046.3440686016]",12754700.50307187,7.50132513,942296.50909724
"[37.535577436217096, 0.044397741317734704, 83.15786505697412, 26.625711438022456, 7.9744889441701154, 0.27455904782011087, 0.8398070957000665, 0.07209582851399769, 0.6977268838725458, 0.6546208129594823, 0.28217914481161976, 847482.5325208507, 0.0005035915546631478, 632469.6580335192, 816740.8837583358, 879302.3384461907, 6.904304275927126e-06, 6.7377324214313e-06, 1.0132673150370017, 0.009742345816850783, 507660.98327142716]",12932923.08779262,8.21283174,942296.50909724
"[23.97895492174983, 0.4253432085032182, 15.076236792772411, 43.91941629454184, 1.0, 0.4813712384036141, 0.9091850158857722, 0.025185393586408193, 0.26714235884861, 0.11008757476234877, 0.5400292845316378, 267410.57648571284, 0.0001602767439859801, 839957.6976900226, 413203.65815368475, 847600.584369816, 2.876261805682019e-06, 1.3522500114990904e-06, 4.709741671223795, 0.008832980683375104, 78290.89159386852]",11237742.40783115,8.87575388,942296.50909724
