params,sse,elapsed_time_s,best_sse_so_far
"[25.29360100927457, 0.35539243383685193, 37.48728198340756, 8.445418523667065, 75.93128686250962, 0.4711090681551715, 0.5067057443211775, 0.07385489285499452, 0.3312590224920367, 0.8908271647788937, 0.11144022022411942, 424676.1050111204, 0.00041263565600665905, 162199.50139441938, 597008.3549019129, 715493.4746030829, 4.961092344450083e-07, 4.165529012653932e-06, 3.325844514169573, 0.003836030979296257, 382558.1036383721]",13066529.89844176,0.50652456,13066529.89844176
"[29.401076029764965, 0.04303147108271398, 2.0090701721967736, 45.06897968913643, 20.0824579586342, 0.24224185413008037, 0.9279587770799509, 0.013710954511312625, 0.7230977384091603, 0.13359092100307599, 0.49395293043653943, 583806.7259343805, 0.0002498108371680113, 493920.5799927707, 80918.94024979576, 989605.1108262347, 7.0500939326003245e-06, 7.656412345299748e-06, 1.5771942689382557, 0.008352508511255203, 681505.5242480319]",63007890828.782845,0.57788944,13066529.89844176
"[8.667193857502433, 0.269916723976759, 74.43276706474037, 5.368568903095319, 1.6186044734683245, 0.026664292151086053, 0.7951557633507503, 0.08101321384060738, 0.42187706399405184, 0.029742336508430986, 0.106401302343774, 765811.5330465247, 0.0005435513797565975, 83760.03369958045, 476248.1377254046, 682778.7859131757, 1.2433787854942675e-06, 9.157720447797137e-06, 1.0909705772461011, 0.002710418623367484, 241973.06675328914]",13030190.76612139,0.79128051,13030190.76612139
"[47.334444432753884, 0.27750437189810606, 21.595666083736393, 46.536910110891284, 48.27921669033674, 0.9677570120744518, 0.4151754182833295, 0.04331477491219324, 0.22024502752781389, 0.8148908536502375, 0.018626135198060022, 976239.9912242205, 0.0005899328781932871, 463403.8225206267, 115529.16629852555, 84226.40325007151, 4.1219155080994665e-06, 4.732625286329795e-06, 2.508574673142115, 0.005896608765374897, 806342.3720026697]",12216096.71188251,0.86243033,12216096.71188251
"[46.2926973918252, 0.06700740806845029, 67.17521681659545, 2.2890993668945123, 9.890364195984764, 0.5536896058289352, 0.25535710955800933, 0.09364949634047016, 0.6489139236407551, 0.4170432368369807, 0.04646508142247727, 999785.3827011043, 0.00042752038886696546, 509430.5924931996, 59164.17306537038, 470421.14601431944, 9.625038794728979e-06, 4.6715483651423524e-06, 3.239051952127136, 0.005110713673255987, 786629.3902670911]",11554418.87838854,1.3223114,11554418.87838854
"[40.69578503858574, 0.38038520120086544, 59.064109484716624, 26.856165319552602, 71.22525502429195, 0.41425456886062956, 0.2943563799847673, 0.08460518493081627, 0.29158165208709996, 0.6485600341221606, 0.5799978105121424, 894253.5241017693, 0.0005746300422856605, 655453.6624746994, 131712.12325343775, 619479.3362216463, 7.1642798330027175e-06, 1.4525064052801243e-06, 0.5620855749955278, 0.004530248184346731, 896017.4891561476]",13165191.20410046,1.46021509,11554418.87838854
"[16.525081620879387, 0.4984383136246846, 5.697339686106162, 49.13568005603517, 13.514530769115447, 0.6130368364142114, 0.5607326231920204, 0.05314643842204851, 0.05240148846353797, 0.34343079002003296, 0.12193320507398879, 614652.5940601159, 0.0006744114449956278, 232743.08163573703, 395981.22049337864, 45246.38972753376, 6.856008562589452e-06, 2.8200169304878993e-06, 0.9887883722729354, 0.0016420012287695772, 634687.4143372446]",13164340.44933575,2.15972638,11554418.87838854
"[45.360537862623794, 0.4231408035610948, 38.45364312981926, 11.847869482577847, 15.977510567961287, 0.684503006520331, 0.18363786870565135, 0.06169850753653276, 0.4667597687990025, 0.3229318385786135, 0.5276530777485849, 342517.84059034014, 0.00028642706136069724, 428675.51743379986, 482548.4505051261, 213022.21627512737, 9.904917785501787e-07, 9.71760948089673e-06, 1.1839594473057922, 0.005611058390666109, 136683.52029109604]",13165310.57491038,2.86436653,11554418.87838854
"[26.56892328560581, 0.10941595273522653, 47.21698238602885, 41.09785481655195, 67.80534392591247, 0.2087719564703356, 0.9130637670290962, 0.01969222396346523, 0.2652617639738938, 0.6100669421816688, 0.9021785331178447, 186741.45116483, 0.00016381548781831218, 195272.82594528876, 586793.772284222, 532181.9336404523, 1.6029228099161385e-06, 2.8713157489141514e-07, 4.737871165680834, 0.009443982171362985, 554926.2635269915]",2088360.48221343,3.51454806,2088360.48221343
"[6.943732613255233, 0.005722346282704854, 87.46962985012084, 31.00935511148115, 92.55828763579385, 0.06172880107647851, 0.13090404353552604, 0.01800031174041073, 0.9971325374799043, 0.3838407712058989, 0.4194787660232573, 774750.5207268918, 7.370762116016919e-05, 307923.0654328777, 946819.0773424743, 412538.2202475177, 5.1690035066051675e-06, 5.828427193493419e-06, 4.142900990172819, 0.0021838642482092476, 188000.4776861498]",89068124680631.02,3.66344476,2088360.48221343
"[28.800513426246674, 0.21191503270409232, 56.645149217132186, 21.264462213992044, 87.7421049080574, 0.9542696139315014, 0.6631929349613784, 0.0030302958750525913, 0.043255872331043686, 0.5793984636238245, 0.39166168841119803, 158611.57043828358, 0.0003855440754694553, 483242.01389288605, 930767.0625912494, 652111.107349722, 8.399456711941337e-06, 3.7024070486537854e-06, 3.4019303675859116, 0.0009342468515641262, 144022.14230771546]",13165401.20696724,4.3782239,2088360.48221343
"[39.4623153305033, 0.28902710336241827, 1.9326108165485518, 40.60871202513691, 43.33606776866531, 0.6595674099970326, 0.7104585309190529, 0.05975525646506097, 0.4796309596912462, 0.4776199086285238, 0.0395869718733826, 98043.45116321204, 8.327249648795268e-05, 314302.90726544993, 341821.43887430226, 499244.61190111097, 1.1717218659394008e-06, 3.7658647616737404e-06, 2.7269137885199672, 0.007589208507296335, 102743.03675531906]",259768424487915.28,5.06696177,2088360.48221343
"[13.63369561798681, 0.2984118323420752, 18.463765810919753, 12.634511248607545, 76.27896165129404, 0.7312745926421405, 0.1431658774615273, 0.04886876635310108, 0.8641714547631965, 0.9399355629776938, 0.14266677835546399, 455550.0400966656, 0.0008382397727638882, 830311.6130817882, 658973.8148108154, 192993.79086706674, 6.483084389815204e-06, 7.907284581281585e-06, 4.482485844840809, 0.006193114628458742, 57609.23170156128]",999326.03060268,5.19509506,999326.03060268
"[19.501049272567723, 0.30507702553144533, 49.904805852324195, 44.53413599020331, 64.30808150147493, 0.7682168159811259, 0.7282619386869504, 0.09719932701455956, 0.18691898790337202, 0.8231035092332392, 0.8771904789868378, 41566.05022223263, 0.00011740167530548374, 889530.3514018981, 235718.17595064276, 897853.6857263582, 1.8603225512689562e-06, 5.222762371723849e-06, 3.790155704883931, 0.006724405332202814, 707458.3584499902]",13153105.45998963,5.82452965,999326.03060268
"[26.33458531494371, 0.2713783294129819, 96.04359025128889, 2.7209751583003254, 35.576417955623135, 0.36889937099365205, 0.43918207893982236, 0.03946183569594232, 0.4336247429749002, 0.11393110742897015, 0.3746545616497299, 910843.7528003452, 0.0008614913739179372, 642511.7746971367, 681591.92125865, 676720.134998403, 2.9963426246040654e-06, 3.1339710402887607e-06, 2.939271119772264, 0.0017142167666665475, 68322.66264984557]",13162609.81624073,6.53208232,999326.03060268
"[37.83110608780864, 0.08354143183329349, 30.834507875215795, 39.25250213011399, 61.47749744749412, 0.30667244699750296, 0.503696070258389, 0.07077050750433617, 0.014088765209417209, 0.4710408443364481, 0.07417603507179774, 101076.50696156293, 0.000855827570301254, 947384.5550859289, 955006.0837229354, 337089.44616303465, 7.339613009657137e-06, 8.243021684516804e-06, 4.87813873071595, 0.007032571029699615, 165097.08300350522]",7230585.21041921,7.22758245,999326.03060268
"[13.019242402660657, 0.1377273062325153, 75.9590315759453, 36.97450372167686, 90.78008261976825, 0.3606906728090957, 0.83235136747392, 0.07151308250642552, 0.38826777391308925, 0.5226848481713836, 0.17325793126252384, 600862.9951205481, 0.0004981726614610738, 932792.4033496935, 335304.3085453531, 308481.3434227411, 9.645957483074516e-06, 5.675914724246511e-06, 3.349931205209099, 0.008873726078764774, 426016.70504764456]",44016760.36612339,7.93384194,999326.03060268
"[9.585097714769356, 0.16000074834344608, 22.55831568843496, 48.59853070122553, 28.21733863438608, 0.6768248226047461, 0.8099522381439697, 0.026498942215092202, 0.2413173936457978, 0.0900412847930809, 0.6300580798650819, 274661.1306080112, 0.000498867500815125, 395087.55157699133, 450772.1291274635, 413424.85459631885, 1.5833598517140002e-07, 2.477161963110836e-06, 1.6621527243871266, 0.009654964807720812, 527763.7254728014]",13157839.31094481,8.6523571,999326.03060268
"[38.62857838015818, 0.45253786162901577, 48.9445018618132, 0.5, 8.967771403403908, 0.9343322939790675, 0.6121453048359726, 0.05760576630544982, 0.026826567146050646, 0.3898070157761249, 0.9370740867082878, 492244.91480695456, 0.0005123463836766778, 100.0, 509982.296546382, 271682.79291287187, 3.197817115212927e-06, 9.517080474028895e-06, 2.9906790709307343, 0.0008364201195289983, 204829.57850582077]",25079772.85975841,9.34005618,999326.03060268
"[24.729341595918044, 0.04926656878054229, 6.146898019189613, 48.6123693726091, 97.05773459630464, 0.5894927765267359, 0.5203428611296257, 0.022854945648078582, 0.5933947863639358, 0.6207719974535117, 0.01, 835436.518445267, 0.00023973181011081336, 200345.38128909812, 767368.7111402437, 111167.82344417325, 2.2173129547647324e-06, 6.3013277952148985e-06, 4.324562976426433, 0.01, 706218.9672555497]",3.829221634770048e+18,10.06801367,999326.03060268
"[50.0, 0.33802841872654155, 55.80724708961634, 4.347444785071598, 80.23757688074949, 0.12105810608091064, 0.8660307626475306, 0.06524514172507884, 0.01, 0.9440691459430356, 0.7998812962885407, 570721.50177631, 0.0003256171864627937, 910453.9686360697, 505048.59569418797, 297307.44953873137, 8.95671032805357e-06, 1e-08, 1.27385640896921, 0.00677192124938567, 968591.4764375078]",13165319.29571909,10.79630542,999326.03060268
"[14.378920946918768, 0.12588516038830216, 76.96378295530242, 46.369850040665604, 46.26387215785344, 0.27189144717824354, 0.5673664083278956, 0.0029231394341275524, 0.7533954392318901, 0.6931924966218574, 0.6614822487075015, 903625.0101995859, 0.00017258117300812472, 863485.9883252922, 691431.945819732, 342622.153399634, 6.977000711490352e-06, 6.905621695161698e-06, 2.655706739968818, 0.0032531404422137815, 179051.2261735701]",13163634.92524738,11.5212214,999326.03060268
"[22.56508636810063, 0.33985717038887747, 90.77963800396257, 28.67076266261377, 22.505888028635127, 0.9905160104383708, 0.1576665226274948, 0.016856211912545778, 0.4500023553795633, 0.33111106106652594, 0.9166150720162224, 952272.4303180705, 0.0006859522553204403, 514036.4059358849, 538366.3720366056, 460730.69229638774, 4.222375934393272e-06, 5.630389283153776e-06, 3.458376612432269, 0.0024340043614125453, 980470.3482801176]",13165111.71084733,12.27905536,999326.03060268
"[34.75637677842046, 0.30507702553144533, 49.904805852324195, 47.37835988192109, 93.27735864375714, 0.7682168159811259, 0.7282619386869504, 0.09719932701455956, 0.18691898790337202, 0.8231035092332392, 0.9387312218720693, 41566.05022223263, 1e-05, 889530.3514018981, 507178.71852414816, 468238.3289819601, 4.071937899691659e-06, 2.7333126781118153e-06, 3.790155704883931, 0.007659795171295533, 972612.0731825831]",13154766.05589826,13.02643752,999326.03060268
"[0.1, 0.2713783294129819, 100.0, 2.7209751583003254, 35.576417955623135, 0.36889937099365205, 0.43918207893982236, 0.037281016710482374, 0.4336247429749002, 0.11393110742897015, 0.3746545616497299, 910843.7528003452, 0.001, 642511.7746971367, 694974.6415564849, 676720.134998403, 1.846173589421919e-06, 1e-05, 2.939271119772264, 0.003928922506721081, 331773.1025045203]",138055634.3173462,13.74078417,999326.03060268
"[50.0, 0.08354143183329349, 30.834507875215795, 39.25250213011399, 33.20945936399334, 0.30667244699750296, 0.503696070258389, 0.1, 0.6849993531847299, 0.7401131683651054, 0.6825771976862414, 101076.50696156293, 1e-05, 507940.1364092035, 955006.0837229354, 337089.44616303465, 6.052849720533691e-06, 8.243021684516804e-06, 4.059157019639398, 0.0001, 459545.63415356947]",13119152.16700234,14.51858878,999326.03060268
"[22.276444044431415, 0.2371356837775891, 81.83026359258747, 36.97450372167686, 63.12851191098797, 0.48615755055514975, 0.5250802692413644, 0.041574025561856805, 0.38826777391308925, 0.28958324184465817, 0.30459398017263434, 242498.80902463634, 0.0004981726614610738, 994996.9360490621, 412790.2915276192, 355179.99617837183, 9.601949512029285e-06, 5.7759108024522614e-06, 2.1211852464686483, 0.005191391695967527, 947055.2305783876]",13161337.55934798,15.37369466,999326.03060268
"[19.835671266592147, 0.11889199173082701, 22.55831568843496, 48.59853070122553, 28.21733863438608, 0.6768248226047461, 0.5344533983522727, 0.03802834421017204, 0.34946595952862214, 0.21013727087309783, 0.31360773961359195, 645337.608658385, 0.000498867500815125, 263870.6163360774, 351353.5115783654, 197523.3711803785, 4.572672568387398e-06, 2.477161963110836e-06, 2.291146830013786, 0.008279102754285665, 527763.7254728014]",8968260.88885103,16.0952549,999326.03060268
"[38.62857838015818, 0.27325280993823375, 93.83632187510769, 9.858297232635806, 3.0708268339306515, 0.4876266980841094, 0.6121453048359726, 0.05760576630544982, 0.11434376977940225, 0.018689249314764678, 0.9370740867082878, 458736.2895640341, 0.00015623775979783065, 809309.5678428666, 302883.5010842416, 519357.1669828849, 3.672854634899041e-06, 1e-05, 2.0966986253517645, 0.008072200692229288, 204829.57850582077]",13164067.50420525,16.8108263,999326.03060268
"[41.10740855637511, 0.04926656878054229, 6.146898019189613, 36.31700232757823, 73.46647084206816, 0.19413014969515976, 0.5203428611296257, 0.022854945648078582, 0.5933947863639358, 0.8598536128046544, 0.6042689591359387, 262233.6240801585, 0.001, 200345.38128909812, 767368.7111402437, 111167.82344417325, 2.2173129547647324e-06, 4.370219036123801e-06, 5.0, 0.009208808694942837, 710513.4599956592]",7693329125265.646,17.5175705,999326.03060268
"[43.52811649848563, 0.23328226741273184, 24.50905511418783, 4.347444785071598, 56.12715643610903, 0.29701711388952723, 0.8660307626475306, 0.00489958827439162, 0.5000741718063865, 0.6708093759429905, 0.7998812962885407, 570721.50177631, 0.00045234515050844717, 895570.0487897559, 100.0, 276356.1576353685, 3.095728861940483e-06, 1.795626393657928e-07, 2.870474257711902, 0.0021790011463871974, 491738.0260327819]",13160766.78604034,18.24619198,999326.03060268
"[22.02611780597882, 0.183496198313189, 41.1509065799433, 37.51936790582945, 70.32194435205652, 0.8614630698019101, 0.5673664083278956, 0.04776262609767082, 0.7533954392318901, 0.18209493990677286, 0.6614822487075015, 646558.0571818096, 0.00017258117300812472, 863485.9883252922, 705922.1259746617, 342622.153399634, 5.0516706300800826e-06, 6.905621695161698e-06, 4.689240510133337, 0.0032531404422137815, 179051.2261735701]",2566897.98019718,18.96184897,999326.03060268
"[23.63290156804678, 0.32410640093109205, 88.64032047527338, 28.822352117700763, 22.505888028635127, 0.9703795167165722, 0.18274845968146808, 0.016228227495202988, 0.4458600581916725, 0.31031551472514196, 0.9166150720162224, 952272.4303180705, 0.0006731426446751927, 514036.4059358849, 538366.3720366056, 475538.9374437764, 4.263896911783453e-06, 5.593222569619371e-06, 3.4727760867912814, 0.0024340043614125453, 980470.3482801176]",13165961.60349908,19.66954923,999326.03060268
"[19.501049272567723, 0.30507702553144533, 41.740377533800995, 44.53413599020331, 10.552413579403805, 0.4283876806494181, 0.7282619386869504, 0.1, 0.01, 0.44260186481710706, 0.06167203374181385, 348936.8652521151, 0.00048637447930939624, 889530.3514018981, 320667.8069000569, 897853.6857263582, 1.8603225512689562e-06, 5.222762371723849e-06, 5.0, 0.006724405332202814, 707458.3584499902]",12307149.51989649,20.40747046,999326.03060268
"[22.720929594985314, 0.2713783294129819, 96.04359025128889, 2.7209751583003254, 57.518700615492385, 0.4538717507530336, 0.5638125505300356, 0.016298139097345576, 0.4336247429749002, 0.12479185447015942, 0.5126235791153284, 889062.1474434689, 0.0007380486373229779, 528963.169478444, 986375.6669425991, 676720.134998403, 5.653375681090617e-06, 8.046251325423764e-07, 2.939271119772264, 0.0045177185989726115, 68322.66264984557]",13157850.77879229,21.11277366,999326.03060268
"[37.83110608780864, 0.08354143183329349, 31.756737971910233, 30.356020602864355, 64.71422727724048, 0.3275228170670548, 0.37130556719589825, 0.07077050750433617, 0.014088765209417209, 0.6409852133448689, 0.0942600483440603, 193410.93845150433, 0.0007071446106113131, 804912.1592813224, 955006.0837229354, 198448.8807877829, 6.767418267908589e-06, 6.67172592992203e-06, 4.87813873071595, 0.004509542473308721, 527442.534343563]",9538374.58172999,21.85826612,999326.03060268
"[14.423943546802327, 0.40464000471506123, 76.23364419532976, 36.97450372167686, 90.78008261976825, 0.3606906728090957, 0.30496163046077124, 0.051771987610712375, 0.38826777391308925, 0.5750885704985446, 0.6119369469681594, 600862.9951205481, 0.0004981726614610738, 857350.9365359952, 434034.7851206397, 211353.0552282822, 5.808960960657093e-06, 6.736457824724852e-08, 3.2466675488425545, 0.005948705180380258, 754402.1894953615]",13134179.57338391,22.56692648,999326.03060268
"[24.579897289134294, 0.30744808553654646, 22.55831568843496, 48.59853070122553, 28.21733863438608, 0.5713792028095162, 0.5344533983522727, 0.03802834421017204, 0.7480583099198075, 0.21013727087309783, 0.31360773961359195, 506459.37903821934, 0.0006003489176268628, 263870.6163360774, 351353.5115783654, 835824.7450419024, 4.572672568387398e-06, 2.477161963110836e-06, 2.291146830013786, 0.002575434782113933, 527763.7254728014]",12872529.97441557,23.28265333,999326.03060268
"[38.62857838015818, 0.27325280993823375, 93.83632187510769, 9.858297232635806, 47.23950505416768, 0.47383760621927473, 0.613959651953083, 0.06167888729595435, 0.796776303121369, 0.018689249314764678, 0.8604617817410899, 634093.7681406509, 0.00015623775979783065, 958174.0341006317, 302883.5010842416, 519357.1669828849, 3.672854634899041e-06, 7.308116793675824e-06, 2.0966986253517645, 0.007173620644873869, 42450.92865620727]",12381283.43832923,24.01677132,999326.03060268
"[34.408000411543334, 0.0005, 45.86189484195762, 3.734149895014582, 73.46647084206816, 0.07245533199617545, 0.7265079236718777, 0.022854945648078582, 0.5933947863639358, 0.8598536128046544, 0.3747176747954545, 836105.0092978653, 0.0005695170492945686, 161532.7591265224, 767368.7111402437, 111167.82344417325, 2.2173129547647324e-06, 2.9620099846058225e-06, 4.991197967294524, 0.009208808694942837, 788399.2962996075]",1.1615300417461642e+16,24.709198,999326.03060268
"[43.52811649848563, 0.3115469584825043, 24.50905511418783, 4.347444785071598, 60.781449014380144, 0.08008012948657955, 0.8660307626475306, 0.00489958827439162, 0.6750940685881484, 0.6708093759429905, 0.7998812962885407, 594558.9614499877, 0.0003520321686562106, 580783.5395157678, 471276.3956003422, 276356.1576353685, 5.782558718946529e-06, 1.8907532722400386e-06, 2.870474257711902, 0.0021790011463871974, 651663.83706286]",13164894.92971794,25.43647695,999326.03060268
"[22.02611780597882, 0.062324691173392344, 45.257314357578174, 50.0, 77.6349668740818, 0.26526450685887415, 0.8076609492168038, 0.04703764832486583, 0.5019036721316116, 0.18209493990677286, 0.7762976350699351, 816042.3251207189, 0.0003806562881552303, 758755.482377217, 705922.1259746617, 274888.40079353773, 5.0516706300800826e-06, 6.905621695161698e-06, 3.242325548223395, 0.0032531404422137815, 603340.3750255272]",3988314.21932495,26.17495346,999326.03060268
"[22.56508636810063, 0.33985717038887747, 90.77963800396257, 28.67076266261377, 31.085040689000653, 0.9905160104383708, 0.2612304023262598, 0.05086621291131926, 0.4743041595753583, 0.4793890223589158, 0.9166150720162224, 952272.4303180705, 0.0006859522553204403, 255040.59360758922, 538366.3720366056, 460730.69229638774, 4.222375934393272e-06, 5.630389283153776e-06, 3.458376612432269, 0.0024340043614125453, 980470.3482801176]",13162950.46852399,26.90777159,999326.03060268
"[19.501049272567723, 0.3561352243195108, 78.07936962806296, 46.918725090626715, 10.552413579403805, 0.3018802205956783, 0.7634119594409056, 0.1, 0.01, 0.45193955164867006, 0.18531083775388627, 348936.8652521151, 0.00048637447930939624, 761958.9586968271, 259199.3209758239, 861494.1643559283, 1.8603225512689562e-06, 3.635546572943743e-06, 4.614383439747022, 0.008061135313708072, 521226.3318517005]",12919090.59198714,27.6435492,999326.03060268
"[22.720929594985314, 0.2713783294129819, 96.04359025128889, 2.7209751583003254, 57.518700615492385, 0.4538717507530336, 0.6354534682185997, 0.016298139097345576, 0.4336247429749002, 0.12479185447015942, 0.5126235791153284, 803952.0056372728, 0.0007380486373229779, 419615.27788615145, 986375.6669425991, 1000000.0, 3.197198018737835e-06, 8.046251325423764e-07, 2.386182372674672, 0.0045177185989726115, 68322.66264984557]",13163465.47220018,28.33688927,999326.03060268
"[21.628631503765213, 0.08354143183329349, 30.834507875215795, 39.25250213011399, 61.47749744749412, 0.5927142138118001, 0.503696070258389, 0.07077050750433617, 0.014088765209417209, 0.848586387665671, 0.07417603507179774, 445107.0604515513, 0.000855827570301254, 947384.5550859289, 955006.0837229354, 99036.41059554345, 7.339613009657137e-06, 8.243021684516804e-06, 2.845526779599151, 0.007032571029699615, 165097.08300350522]",12573846.21722569,29.06549692,999326.03060268
"[14.423943546802327, 0.14789298344417562, 29.764434289446935, 49.59561190800952, 95.17930788180149, 0.8597398615987402, 0.30496163046077124, 0.051771987610712375, 0.34588922739118205, 0.837765724573171, 0.6793340517166764, 600862.9951205481, 0.0004981726614610738, 857350.9365359952, 674731.749485856, 211353.0552282822, 5.808960960657093e-06, 1.0097073413908901e-06, 5.0, 0.005948705180380258, 498000.07167812664]",2066450.97501056,29.7767179,999326.03060268
"[14.090473406561966, 0.11889199173082701, 8.553842887008434, 50.0, 1.0, 0.6768248226047461, 0.8967304112654939, 0.03802834421017204, 0.34946595952862214, 0.21013727087309783, 0.43038883750727, 417529.67640841467, 0.0004097707297488112, 263870.6163360774, 742112.3944601744, 197523.3711803785, 1e-05, 8.324664632925278e-06, 3.2719179046412075, 0.008279102754285665, 144002.9554526172]",56110420837.336815,30.44774914,999326.03060268
"[38.203197549640635, 0.3879036167483086, 93.83632187510769, 9.858297232635806, 47.23950505416768, 0.6784588487990697, 0.26765521489016386, 0.06167888729595435, 0.7415354165557637, 0.018689249314764678, 0.8604617817410899, 767750.6788290574, 0.0009115751828741612, 420077.5295448032, 100.0, 350547.7460894682, 4.75041081162539e-06, 1e-08, 4.597535600820503, 0.007173620644873869, 846618.786504945]",177039519.8390709,31.23057413,999326.03060268
"[42.440966932797885, 0.04926656878054229, 35.528305578120744, 36.31700232757823, 68.57868288281097, 0.19413014969515976, 0.434398775859147, 0.022854945648078582, 0.5933947863639358, 0.5498521400382692, 0.6042689591359387, 429574.1967225956, 0.001, 211915.80770457286, 568683.1147911968, 97159.45446181485, 2.2173129547647324e-06, 4.19837300787835e-06, 5.0, 0.009208808694942837, 710513.4599956592]",3250935324.6275673,31.95134616,999326.03060268
"[43.507238460381835, 0.23328226741273184, 42.472983839083724, 17.996640459170482, 68.45756601893109, 0.2111769504930086, 0.793504065957478, 0.00489958827439162, 0.3943908728205288, 0.6900700788338452, 0.7338907437462862, 263188.4122014813, 0.00012876373071600477, 440170.13487415557, 100.0, 276356.1576353685, 3.095728861940483e-06, 2.0378312669197866e-06, 2.870474257711902, 0.004395979492486545, 448176.6011672939]",13120787.63606827,32.68846941,999326.03060268
"[19.569796310586714, 0.04887856266608112, 54.6533811804751, 37.51936790582945, 43.8066920894355, 0.8614630698019101, 0.8382172774143236, 0.04776262609767082, 0.6324974341627246, 0.4783135720550887, 0.6890667056585239, 646558.0571818096, 0.00017258117300812472, 863485.9883252922, 486257.8843036593, 342622.153399634, 3.202914607077159e-06, 6.905621695161698e-06, 4.038474721567783, 0.0032531404422137815, 314638.2362376596]",4325845.48250826,33.42912388,999326.03060268
"[39.67240988553337, 0.33985717038887747, 90.77963800396257, 15.777718824252512, 31.085040689000653, 0.4134232561464392, 0.01, 0.07970687621067311, 0.4743041595753583, 0.6778807177347137, 0.8148566588306477, 631846.8645113725, 0.0009293094459282027, 372517.9244386124, 538366.3720366056, 30087.39940355197, 4.222375934393272e-06, 5.630389283153776e-06, 5.0, 0.002830814324077162, 893100.5543463659]",13161691.68177662,34.15349126,999326.03060268
"[19.501049272567723, 0.30507702553144533, 52.033305173263315, 44.53413599020331, 45.0114526091587, 0.4283876806494181, 0.7282619386869504, 0.1, 0.30362875128466366, 0.19287368115714953, 0.1967624569331804, 370672.6140588244, 0.00048637447930939624, 1000000.0, 320667.8069000569, 853210.3857732383, 2.011326651946379e-06, 5.222762371723849e-06, 5.0, 0.006724405332202814, 707458.3584499902]",16881140.19366354,34.90954971,999326.03060268
