params,sse,elapsed_time_s,best_sse_so_far
"[10.123910293790283, 0.25816525871730933, 56.77967912715642, 21.142210698148798, 73.2446468594556, 0.244908791840394, 0.03595707770033361, 0.00923333950586169, 0.3975749218513815, 0.030652865131623352, 0.9044584084535809, 673268.3701811935, 0.0003351999411506987, 704963.4693095599, 783479.5754673781, 561375.0974599101, 7.173830059951742e-06, 4.256633073833422e-06, 4.807458374551896, 0.0019005073062896406, 695508.1635553768]",13587125.24893249,1.01895881,13587125.24893249
"[45.15646672959421, 0.4869498845233341, 76.29973587095148, 42.5573441285193, 93.4215003736432, 0.38060781636013935, 0.27520387308277044, 0.00825914637569571, 0.6301627542845387, 0.0663423836048743, 0.42085444471595357, 342667.8548673699, 0.0006713127171553688, 334826.8628467013, 297082.0008181814, 837280.4905885952, 4.35586559666922e-06, 6.926511631619234e-06, 3.9515828849038006, 0.0027061623755079097, 184560.91312368447]",13590104.06004081,1.10345626,13587125.24893249
"[46.19793343099386, 0.1864922028587812, 43.85328736558357, 33.90571473881109, 86.46496972647107, 0.8131563290591695, 0.40501504737140925, 0.0984085744287414, 0.9355806258551022, 0.7983958555246847, 0.18357293224080476, 989129.3361069156, 0.000644335131990563, 694345.755173137, 130959.00845290291, 547786.145195109, 7.607231819186759e-06, 4.814505350674625e-06, 1.2740457595153956, 0.008342171468253435, 731447.2937296899]",13374593.98108184,1.38309646,13374593.98108184
"[8.347745649557094, 0.4591734935092272, 4.512356068380239, 45.32854035598805, 46.860519157924585, 0.7552206598009085, 0.01972697161695152, 0.06445233496736082, 0.017064237245482384, 0.06968540592954377, 0.0743790405455714, 227112.12709469936, 0.000299009059928652, 371292.04379689385, 491072.00903552695, 971344.6147087709, 8.802094525245729e-07, 6.7901708132284665e-06, 0.6658688998483638, 0.007502450104514875, 529423.6714313474]",13644492.1154035,1.86024594,13374593.98108184
"[44.451638085146904, 0.10788061420766623, 72.19386473784775, 43.28785553558561, 95.85228938250955, 0.4145624140070099, 0.8227911330251829, 0.011276778870396895, 0.9998988013409937, 0.4362559858079863, 0.5054322551491196, 873279.8013086112, 0.0008478698768461623, 281826.3267367548, 731640.9040559502, 175611.3357996636, 6.23663763759629e-06, 7.817769273800836e-06, 4.057235627756299, 0.008481141033941668, 843917.3667858255]",966681.00292645,2.15654993,966681.00292645
"[7.238785767416018, 0.33362113449858416, 80.37736683949372, 9.431368260910931, 53.650513865497985, 0.40202835490090494, 0.310531289011103, 0.09324836829689448, 0.544371442824709, 0.922045252164778, 0.5337158987724071, 525321.271365549, 0.0001855335335480172, 30936.265706509064, 863872.2161374289, 720369.3301116338, 3.7459631096249465e-06, 2.931879142433866e-06, 2.1355673265970117, 0.009974041844472818, 116158.1844762455]",1240018474.76273,2.63327003,966681.00292645
"[36.453513199346766, 0.22929883221496494, 37.91750526787704, 6.507687455185551, 2.818030531809007, 0.12808093639846105, 0.6634904767776765, 0.09587332182564458, 0.801741093113853, 0.46500374065998473, 0.863962730481546, 159741.8273910397, 0.0003707163826926619, 205656.01882673407, 150526.4740081869, 130405.50320874766, 6.206637814884974e-07, 9.585069537627618e-06, 4.725918919515409, 0.0030682948518651497, 28565.618929091943]",131552080931.16772,3.32126141,966681.00292645
"[2.6358061655131815, 0.4997855062106226, 83.74035119564105, 5.394748032674439, 22.139876610030964, 0.9808867787165761, 0.9494258254158469, 0.0032393607419396197, 0.5609104253962298, 0.7545205773826332, 0.2856934674792955, 35362.16074685098, 0.0008311166159553489, 434978.5475852979, 448480.49530946295, 909451.20733223, 1.029374170390337e-06, 6.063285625627524e-06, 4.974127316093915, 0.0024529347466286755, 607647.9305066885]",13634288.81088727,4.00737262,966681.00292645
"[35.1993986201655, 0.2073610997841835, 8.806701899013227, 26.46387576655741, 32.11961170990496, 0.08519064109681136, 0.9709781031915343, 0.029407975404715247, 0.16192454380651122, 0.6579566371943844, 0.24070348688251658, 564360.4106471735, 9.979777638789895e-05, 303247.4486945237, 225810.59114215372, 459770.9446561673, 1.8263860102673e-06, 1.7804232066231552e-06, 4.330758155096092, 0.0045027396626119475, 645065.8135016295]",697061.39443338,4.36375213,697061.39443338
"[1.969529678496132, 0.06057832678080749, 73.30340346498484, 8.882632772999733, 78.42193272548738, 0.20939084043424505, 0.614935277445974, 0.08816448910964983, 0.1707261702590055, 0.12951486648440105, 0.1373550152887153, 270518.7192372746, 0.0002686010256302894, 453869.3323440145, 272209.42183077463, 205623.73985985515, 4.980373219808707e-06, 1.4124590833689942e-06, 0.5072610069708592, 0.00954678330113692, 702810.4381936353]",15656213.92351823,4.80384803,697061.39443338
"[32.91434382243647, 0.4204098543363229, 68.43507217807718, 17.172311437888567, 74.23372518895336, 0.09827005647088301, 0.15244376966267548, 0.0441928893210716, 0.8529402550855001, 0.3762615746884866, 0.18766920388115804, 507348.8416610924, 0.00020702326522096905, 680809.1374400973, 418573.5289185056, 163496.8987702207, 2.2466689528673398e-06, 4.772409024622046e-07, 2.1729712588956263, 0.008550538555441092, 929784.7129203635]",13638915.49047399,5.52991509,697061.39443338
