params,sse,elapsed_time_s,best_sse_so_far
"[17.95959709254101, 0.44991535380971936, 70.65042926676563, 16.62739546037203, 81.72081553217973, 0.6749442921267685, 0.704350338371256, 0.024087378618593287, 0.8678475728170558, 0.736392459869587, 0.28288935576687735, 185715.98402377404, 0.0009702037074647887, 95004.62947101545, 179694.41208009105, 222555.11456606915, 9.595043424021208e-06, 7.581593197793977e-06, 2.1269426748234332, 0.007844891624293134, 393714.56555221585]",13196886.51319319,0.38263106,13196886.51319319
"[49.93679467804867, 0.1026829791158323, 48.16248838584353, 45.06919854002686, 38.47929288222479, 0.8898528777812411, 0.5676119899971954, 0.062301022959471854, 0.5031673588913246, 0.6846750721216552, 0.459776481635847, 200919.68771861002, 0.000983786685954621, 28142.25323151666, 171772.73579564306, 88252.1687901587, 8.27157615686372e-06, 6.808950940298858e-06, 1.5261705462204556, 0.008914117283154102, 341664.34757861646]",62856470.97138246,0.45193958,13196886.51319319
"[35.23487121104581, 0.4024760148516896, 35.18719616730307, 38.836729107477765, 33.140437593462906, 0.25009543082704466, 0.38979412123403706, 0.08785696005494018, 0.4727076532009008, 0.7369669113425764, 0.5738715438569016, 170936.9024901738, 0.0009401117427306177, 18518.60641747259, 86827.75264088661, 212713.41506362482, 9.421251435975224e-06, 8.288556400880758e-06, 2.817535281804785, 0.0007455427487670222, 417324.3177481994]",11170414.55336465,0.60586095,11170414.55336465
"[37.23057314524846, 0.312567531610119, 8.874560909262343, 26.25857449938718, 42.22726228302442, 0.9879753308294931, 0.9101860096522881, 0.08280498907255168, 0.8561104629328624, 0.5549045335266254, 0.7668839852405548, 95666.97359887203, 0.0009973078668202484, 100646.9964539587, 177267.70898601518, 241761.64054411292, 8.985324043137771e-06, 7.159399345696654e-06, 1.4217407567193148, 0.009200270623952051, 403385.9419792434]",215882873.65158525,1.1938436,11170414.55336465
"[10.955586789935765, 0.1807111370196212, 60.41089866157444, 21.051013884851166, 59.4801791957218, 0.39022246794299487, 0.11239709444973217, 0.0529748042838257, 0.5465130429165569, 0.5347469935399483, 0.3100077017701187, 96206.96191000004, 0.0009643160967407005, 35577.814741933806, 95819.17097265036, 205464.36525791162, 9.757384050918898e-06, 8.038018146383779e-06, 4.098314884809518, 0.0022915587780655998, 415838.07991173083]",7239885.21818373,1.80319643,7239885.21818373
"[20.69330390364459, 0.3282027070626985, 30.493206587572793, 13.09388741560553, 79.04476287626636, 0.401622134897881, 0.09994801997886249, 0.05791100533149078, 0.5435911378518742, 0.5788904625338652, 0.2835346410630927, 140395.09978125477, 0.0009588277419663312, 65660.40850880301, 103763.40306737271, 191506.22562778197, 7.082509465016282e-06, 9.283115931771726e-06, 1.4417847742723984, 0.005543289086137151, 382238.6033065448]",13579544.66735881,2.01592779,7239885.21818373
"[34.78652225040351, 0.4231143758187215, 65.61104131263319, 40.736149617380306, 59.322621633979395, 0.10158657934737392, 0.2194347793291729, 0.09975878873151514, 0.9952580887933509, 0.773545032991612, 0.49172769175008946, 105299.39333279381, 0.0009353523623694976, 113737.01337367421, 204020.83086660723, 221135.41973176273, 5.370539753925651e-06, 6.5038896587901344e-06, 3.5075636514690807, 0.006933628455069297, 303415.0140017679]",2399420.87085492,2.08137155,2399420.87085492
"[14.219540242855256, 0.4101814661819307, 99.30857953093447, 14.031574872440771, 98.81662137268499, 0.22739074671267695, 0.11047221643985805, 0.08319943639652408, 0.8863817268594961, 0.2532150511712531, 0.3783991000324535, 173018.87175452785, 0.0009749197839333636, 59789.507134916494, 273129.6870199038, 234734.5730204105, 7.649669057493502e-06, 2.6956091820048824e-06, 2.704109653693487, 0.005918440726659611, 397074.03495130595]",11668802.47538465,2.78547764,2399420.87085492
"[21.99420137117913, 0.3993125905992937, 97.94162647390976, 8.402606829974294, 58.213690429119964, 0.35194901387144784, 0.3181394426546086, 0.09065760961096392, 0.13347408322981502, 0.516865968427964, 0.769773957435386, 101287.85659150587, 0.0007688003840972833, 141161.65469839345, 245810.54320324183, 265042.25509324356, 7.845706856524061e-06, 5.48313511147674e-06, 3.588507095783962, 0.008250777785009399, 285571.8481955377]",13564185.56278984,3.45687413,2399420.87085492
"[40.83688018336045, 0.3612822025201097, 94.91517632175844, 28.73897217115051, 92.198262766819, 0.5857394359032967, 0.2324791131696919, 0.09578049398258073, 0.4541467373350327, 0.6083514611780126, 0.6822518561841605, 116958.39510208071, 0.0009999948923949166, 133721.17017299726, 108270.22890456897, 256691.17824521803, 7.324551382790146e-06, 2.9217283150561357e-06, 2.013202221714929, 0.00842640876165668, 285623.81028664036]",13583003.00622838,4.12596726,2399420.87085492
"[42.9121633933662, 0.2511442070695563, 42.00497481121789, 23.518482560256505, 56.783002144453576, 0.1505584069563362, 0.06447309692320152, 0.06738912872379152, 0.7813965918044402, 0.012881151282606054, 0.502577127661185, 140234.9558207347, 0.0009815282855663492, 169286.96572148346, 146241.77495377546, 290552.419786175, 9.608183591626416e-06, 5.68245635868078e-06, 2.5197438691778538, 0.006006669879670098, 347075.86111229437]",130630560.59150936,4.78586936,2399420.87085492
"[14.970747638651707, 0.324921091818852, 83.6470411658688, 5.021683807990177, 49.04671048822531, 0.3241546612169444, 0.7277314186660445, 0.0956117052788989, 0.5638388653745595, 0.8294291088538774, 0.9637049590669933, 125290.13797835624, 0.0009323511162547281, 82945.98601637824, 200297.95248050586, 208044.6063197606, 6.512470015570879e-06, 1.7428260462596957e-06, 3.7635283232012675, 0.00846654556344564, 312453.7390137983]",10213933.8242429,5.46805763,2399420.87085492
"[21.93243753965293, 0.49661035499332984, 86.70435655472613, 8.731286900179082, 76.59237751079283, 0.2934309989606344, 0.04749145238463581, 0.09778690712506717, 0.8969402340777273, 0.5812859402877262, 0.684417795492983, 12897.439450214108, 0.0007706754391001054, 245052.09456719676, 246740.63257504796, 264275.89076799876, 9.86346720880691e-06, 6.8579014253549614e-06, 2.0579783136569514, 0.009427770172838877, 320345.29202598584]",13644414.42092297,6.16068578,2399420.87085492
"[26.366522729565983, 0.39154412993225346, 71.29546931934614, 27.104158600108462, 52.40658108599331, 0.3048438386768176, 0.4238505984260938, 0.06816718576457884, 0.7308896480805213, 0.8074648156860987, 0.6803366935801355, 88033.06590616252, 0.0007212258251778477, 193476.0252106136, 222913.24375116423, 222304.7418821437, 6.743719884437151e-06, 4.050488116484929e-06, 4.4208839906247235, 0.009290150392736224, 340068.28170858184]",2328759.50376863,6.57741594,2328759.50376863
"[21.50235694101935, 0.4106133191763148, 74.62827572917631, 40.721156414785376, 84.79176221127793, 0.023555092413831545, 0.11311592667457177, 0.07839762003549239, 0.36592529555615266, 0.9956384175392476, 0.2794573536618189, 33851.83207816994, 0.000947334368287249, 187718.91119650906, 132478.36241472838, 271635.5884050191, 7.937605282653555e-06, 6.809648700634703e-06, 4.154502369645003, 0.009926680612033218, 221837.5753342653]",1304960.15809379,6.65179634,1304960.15809379
"[27.299815590123508, 0.2744242189892339, 99.97195092740373, 36.37248368833002, 54.108951147465035, 0.1448210379393769, 0.013293730024087652, 0.05385670883461773, 0.1604060006262717, 0.7205156879450769, 0.26662287180624833, 215269.01691015193, 0.0009455781609698939, 129569.38342565241, 140564.3639207841, 171719.4192202714, 9.319072380988256e-06, 7.440584998667351e-06, 4.1930247618374255, 0.009525095113093124, 405764.3157396328]",12375150.05013728,6.98769593,1304960.15809379
"[39.16973132617133, 0.26904440927594686, 67.12127024723449, 25.885713652706535, 95.66129197440111, 0.07716558291083238, 0.11146291284264004, 0.0926412361906456, 0.36157615233844886, 0.8255854625740401, 0.9990081441085635, 26576.728940088215, 0.0009996519577993128, 131141.5364544849, 133337.12557592575, 306572.94067252235, 7.068159602167976e-06, 4.734217713072495e-06, 2.2536374111605957, 0.009999953080744228, 218940.74123051995]",13560864.40620065,7.66930938,1304960.15809379
"[41.789996319973845, 0.4017809960350153, 36.520061768202346, 22.120917032920715, 30.367140457749024, 0.01497738188806564, 0.26507419243234376, 0.05437303216831135, 0.5104910658316353, 0.6059699901458291, 0.31268924572520185, 45095.683308065956, 0.0009985567346112343, 214613.58669693721, 123851.94083145089, 274289.79302283295, 7.457790893556333e-06, 8.744952194190457e-06, 4.405117570071211, 0.005444020929826334, 320683.494023866]",701188.55862307,7.73963284,701188.55862307
"[36.59871143197254, 0.32940522106361575, 9.862083196025743, 23.761032487086645, 77.48330966147131, 0.02113153695753183, 0.029328164697161783, 0.06282754760125947, 0.03316391464749456, 0.9155130593952545, 0.33349120164623336, 32779.916161438, 0.0009949811076161213, 117999.72747265098, 121529.64684872412, 162795.7507709433, 6.941638159091387e-06, 7.966912659830696e-06, 4.248633230096417, 0.008022904804266696, 388549.66768497234]",8660129.15227127,8.41590095,701188.55862307
"[2.112001207425566, 0.4105991672830386, 61.87400938760517, 14.033656672939372, 67.67164624897282, 0.28178440556528284, 0.31418787349047306, 0.06443842330850406, 0.6429427370598145, 0.3937991881491541, 0.5652011901048514, 74507.96853387529, 0.0009659812987039376, 210914.98350735588, 135870.7686140595, 239940.46686653202, 4.093096633146683e-06, 7.500737729428615e-06, 3.536737918964895, 0.0037929741843062306, 284281.3865834748]",17817673.45559973,9.08299875,701188.55862307
