params,sse,elapsed_time_s,best_sse_so_far
"[20.11683000663878, 0.4049818377473845, 50.54703746269874, 14.279972336343354, 33.45743545264985, 0.9331455656293299, 0.786122356101681, 0.004614434924034824, 0.2303416215710844, 0.47442996026488277, 0.3089361414216234, 290527.88383026357, 0.0001598761737009576, 944226.6435425485, 340382.90830737737, 112694.22359853673, 9.406807212710617e-06, 2.2398052772446922e-07, 4.984007667281422, 0.0027514473798647796, 685934.1148181964]",13161655.72185843,1.01645303,13161655.72185843
"[32.09308192822908, 0.49335008240451217, 77.95587640420565, 14.85711107720248, 63.38263272876689, 0.5346955214508948, 0.050420070735036904, 0.04188712394835194, 0.7777693312937913, 0.37586267735621337, 0.9081048157054925, 141303.73714562666, 0.0009686760871471884, 654677.8678609489, 241480.36564322928, 10264.477758319694, 1.6731749871862815e-06, 1.1136874256870147e-06, 1.2004717976220205, 0.00649687469514731, 144672.9315991313]",13165325.12053385,1.08990192,13161655.72185843
"[46.81559307175198, 0.2856154390326427, 12.16360618139422, 38.94097747874819, 14.421723713485541, 0.18894235325573772, 0.3884923835776907, 0.07548306218413434, 0.9061584297859261, 0.12796903286381087, 0.2888818674154446, 949261.6573174205, 0.0008451586974903447, 414539.78672521166, 312546.27598404506, 613077.8217092012, 2.013506554391291e-06, 8.715393915392039e-06, 2.16502765335212, 0.0003067161718562922, 761959.8946241619]",13143731.20368555,1.17267013,13143731.20368555
"[16.671779510760384, 0.22719949438190692, 86.52204508645264, 41.97360312602941, 51.70346595088069, 0.3094466104197712, 0.30863068018631346, 0.030237716988049928, 0.9786413410198891, 0.13300299553052755, 0.9678887943051587, 455304.3786571585, 0.0002771833147546221, 618609.7783949398, 66091.65376418477, 449520.5443315908, 2.666411356684885e-06, 3.189183759272686e-06, 0.7119666479028872, 0.002402673495137337, 10112.827297259826]",13138899.59898854,1.24500895,13138899.59898854
"[3.567718771042564, 0.11408838875356626, 83.19998716345683, 9.298157170252013, 64.56412655240753, 0.8025992919131263, 0.2113033595979679, 0.09929949211003326, 0.0964484883863941, 0.48973889071925414, 0.7611675018791497, 184292.67196080624, 0.0004439190897516841, 241279.3959105329, 475223.253187507, 260811.08384633262, 7.1564314930832485e-06, 7.895030104005634e-06, 3.8451674149704407, 0.006240466658334246, 245961.46930255607]",12204910.93341994,1.45738864,12204910.93341994
"[29.086029248016427, 0.3357679014002478, 62.97195712890622, 21.336574055734918, 46.062076863214486, 0.10757320749275338, 0.1588810068015801, 0.0012169209031988714, 0.593656759625474, 0.34251611382731517, 0.6438967159846061, 810592.0040084961, 0.0007141408773928786, 398594.6776078688, 11491.671882837947, 340488.8195498289, 7.515745145575367e-06, 4.450022062843565e-06, 2.3064598233629523, 0.004851524619421906, 586198.821269408]",13164973.63699944,2.04102087,12204910.93341994
"[39.20772704907547, 0.27976766492530253, 97.60978748217349, 37.75161955212346, 74.33789753722768, 0.1533120758929007, 0.254984888485739, 0.05452633477574601, 0.7149664903246556, 0.03373353634099071, 0.40106458539010603, 974789.821488991, 0.0009224634254836767, 743654.9376705375, 727538.1774060207, 896820.4194673032, 4.942201378250632e-06, 8.241283347797236e-07, 3.4290462406334283, 0.005041344321231572, 135419.61441023397]",4595288.90656045,2.46702766,4595288.90656045
"[40.23070552195075, 0.17810974532143212, 70.32213104261835, 1.8099910722885129, 93.3116301112858, 0.30523558015404356, 0.17771855533212366, 0.028563023728570974, 0.6212162909245815, 0.43267976034105804, 0.8663532755077397, 227738.15381700665, 0.00019909406371858765, 983263.114919021, 502896.71395889285, 599305.2020821378, 3.6588847386914437e-06, 2.0463480879300005e-06, 4.405479884942222, 0.0015991850174147354, 484565.43914504483]",13161089.51782533,2.7920711,4595288.90656045
"[24.617872800723006, 0.07079159985921452, 37.89908779001618, 27.634628679153735, 70.50596938815553, 0.8594201146378493, 0.8514195519889102, 0.0764833691997045, 0.9351861084208261, 0.4627462859918598, 0.6317796653792432, 483527.15648024325, 0.0007842896236556744, 170106.63727582974, 195967.1100336166, 679766.9259225668, 1.1291903319149475e-06, 6.974584232918455e-06, 2.425895851137546, 0.0021391214281844635, 566182.2978630742]",73931541.86508778,3.48937821,4595288.90656045
"[48.83042822400842, 0.23890021088166136, 7.729148973319848, 5.991577662844714, 67.04005057329252, 0.3312577117939066, 0.3580878259422067, 0.007266815869612753, 0.666095002724609, 0.8614324248438525, 0.44553967870512634, 533315.0440776468, 0.0005457098058192626, 962635.4537551084, 875548.9247741199, 423066.5275085702, 2.241731828493135e-07, 2.4468913592024886e-06, 4.719304203894754, 0.0011424323624424167, 720016.2466813673]",13150708.6284589,4.21098804,4595288.90656045
