params,sse,elapsed_time_s,best_sse_so_far
"[26.145303541051057, 0.13132933575526623, 84.63982769456827, 49.858528316856365, 28.66660860464216, 0.2933046480802234, 0.7484561152663421, 0.05045517755803658, 0.752017298663801, 0.0892081564608558, 0.4688415457952789, 307724.13249350345, 1.5594019232971095e-05, 430315.1122536007, 721051.1215965226, 711586.5338549502, 6.700987740329557e-07, 1.659047000428699e-06, 4.384548979167602, 0.004548980531417153, 144529.5944269097]",1328958.90665306,0.52390575,1328958.90665306
"[18.427545649339482, 0.11598614238919207, 83.10642770706093, 48.17880514115443, 60.52861238269577, 0.05724954660090701, 0.3674350624298001, 0.06745652648665591, 0.9503166795450649, 0.804895793883362, 0.28718812313249037, 55060.86370842891, 0.00012447699618346104, 927974.6748916905, 136836.89849688852, 681969.6529050606, 2.8754864364682917e-06, 2.992111045504998e-06, 2.673566960435676, 0.005797594134024723, 982012.4040298596]",13284574.32085442,0.59776711,1328958.90665306
"[24.370647609987536, 0.03017031255563129, 15.575454576785596, 7.316407337431299, 33.608279083113814, 0.4699384704544117, 0.7778222089532638, 0.04948514274407023, 0.2559564008394845, 0.6543047968064312, 0.9392773097952586, 26364.091134925555, 0.0003569873117770171, 628903.5544266772, 705931.1249280063, 232065.6627839307, 8.999093562223686e-06, 2.1011243779522195e-06, 2.933153218151274, 0.0008242610718547461, 97479.88175020622]",13498914.59966421,1.39973712,1328958.90665306
"[10.609142562458064, 0.4457980236290206, 31.853524799500093, 31.4812460287463, 84.37104275554825, 0.23382179357271685, 0.12426720362698018, 0.07811489999993651, 0.18782954998584822, 0.33996294478772054, 0.22588679876831302, 270508.72444854985, 0.0008954064708352416, 14333.843083622081, 501104.88327559695, 897034.9446553207, 6.502423189713173e-06, 1.8784937917632534e-07, 3.179398302490433, 0.003945961414278833, 557237.0070987787]",795037.86385824,2.03047991,795037.86385824
"[44.033213092602516, 0.1570755479113557, 52.65059212939122, 9.640769139135262, 98.96920224832228, 0.014591355467655383, 0.7165648225271967, 0.0187324532584214, 0.5497416435549272, 0.40656719584564355, 0.6429840639314123, 489589.5997078031, 4.857931040622631e-05, 273252.02748948423, 791091.6572505428, 618475.7200734207, 7.91761216357025e-06, 5.382421131587677e-06, 0.5657783844582553, 0.003192385881160728, 88914.41374485898]",13630963.97270722,2.18139863,795037.86385824
"[8.217568247529954, 0.4671056842930705, 42.779683468569225, 29.617896298924695, 26.391648094429208, 0.02403936275837537, 0.5361344723773156, 0.07174502830765864, 0.46415679141352484, 0.2768611497379806, 0.11855291544064364, 752463.1590117103, 0.0003674457915920771, 888557.966376921, 201980.37263976576, 249656.86905120043, 8.617872550450914e-06, 9.388441660086524e-07, 2.1436981369734425, 0.005695756461933817, 517853.39641702926]",10936779.7050728,2.90446019,795037.86385824
"[40.399217422422666, 0.2254713608875662, 6.024969008487073, 25.897132251436698, 10.778767621040748, 0.2413326677455157, 0.9306842960555268, 0.002696550567128789, 0.055192542288711004, 0.4608344423402914, 0.437793970769101, 194493.12337756556, 0.0004094889678895113, 745527.505504143, 572730.6563122225, 908137.2707108348, 9.410797490231465e-06, 7.1189103930920365e-06, 3.293933737592586, 0.004955812113185921, 412228.83419632947]",13644262.17120118,3.60810876,795037.86385824
"[49.47897430561058, 0.07064653962842332, 88.34868523781662, 15.422478052176185, 41.11574470834291, 0.18032984238012237, 0.3573771447018312, 0.09020186538025797, 0.027059040770900405, 0.7409073436996197, 0.8153813215842614, 995553.6879036939, 0.0008330954615605069, 995486.8647467238, 448466.5119044591, 136336.05035753312, 3.610153860154001e-06, 5.035141190863143e-06, 0.6724392819484497, 0.0034474004898977354, 266207.58226266666]",13644648.00238858,4.34857464,795037.86385824
"[6.601936406024913, 0.2919551161534942, 26.478618100847907, 13.069773082954738, 58.983639308082196, 0.5031965942795775, 0.5232864925199353, 0.09627099125655816, 0.837342944179648, 0.8768526130126215, 0.5707639834861503, 133983.94753621583, 0.0009442963806109657, 672096.3359035536, 806985.6682301026, 624014.9031149081, 3.855365053841895e-06, 8.392087295200547e-06, 2.03624524174061, 0.0015246504501567435, 155249.80489132743]",13634946.36532609,5.11287951,795037.86385824
"[21.93196497067715, 0.055735112447057304, 85.41985665456858, 21.23136287102458, 67.1517607796937, 0.4056011893014434, 0.04176535051151574, 0.043827264992725344, 0.689817881654319, 0.681512499878366, 0.08661684258440368, 284141.931275252, 0.00022647115328442802, 469703.96219101525, 497174.7499843526, 910015.1869530408, 6.6894892423831e-06, 5.237747474119394e-06, 3.2029512101881568, 0.007635154231842997, 703573.3794738258]",13131820.07670244,5.84738803,795037.86385824
