params,sse,elapsed_time_s,best_sse_so_far
"[6.5930036819392175, 0.30852571653060795, 3.4581451437697055, 11.299497409145545, 16.622683350385742, 0.013125247263636142, 0.2725090016936276, 0.0038692369012203022, 0.8980194208878766, 0.35330181799865723, 0.7297491727739392, 999330.6122300195, 0.0009999744684098138, 211574.62015076584, 125296.46267111276, 241109.5503176326, 9.607714373777543e-06, 1.1014064694469325e-06, 3.447997655040882, 0.006445452797767917, 760475.8335039022]",5751164.05070624,0.37057948,5751164.05070624
"[7.106134734105527, 0.4918416625151023, 52.845145537423335, 20.032126434876623, 17.38570954382562, 0.1626700911193804, 0.2565859423785309, 0.003811116284877869, 0.28715767652540436, 0.5398705254666811, 0.7698846084485126, 775800.1104127541, 0.0009165864714311501, 155931.11091321314, 32826.68017133976, 282757.7807901917, 9.001866788485884e-06, 6.8214235787191354e-06, 4.762064555628092, 0.0013437151939448874, 716932.0759025975]",13621802.1086277,0.4468348,5751164.05070624
"[9.285774057150698, 0.49968234491110075, 56.87151868192679, 15.521001908361198, 62.868716765618856, 0.043392478980667164, 0.3254351704993427, 0.008988373974044648, 0.8173772121787523, 0.582505229761209, 0.5667716728128498, 836421.3058374105, 0.0009393897161340617, 170956.03326533255, 6934.402385934296, 291920.03479661664, 8.157213309137501e-06, 3.5984393436631906e-06, 4.373533841808963, 0.0028154270006337146, 656559.2037705062]",4825882.12878886,0.65697265,4825882.12878886
"[9.480907615254651, 0.42579993972551344, 36.37609331580444, 14.075825972968838, 89.56203547581616, 0.14601419161265716, 0.7579718502966476, 0.003823992589024323, 0.9044576940505932, 0.48978297466028764, 0.44563728870150476, 884074.1125001622, 0.000996313382379583, 170449.78004566065, 69347.4109669602, 262291.2271067856, 7.706565264377905e-06, 1.4339918620808356e-06, 4.11363882076877, 0.003330118722051102, 728713.0720910213]",5759707.84103914,1.42985249,4825882.12878886
"[14.78159758243809, 0.33590498416579395, 51.49149685256495, 6.358695897897023, 42.25403591632584, 0.38982497488932105, 0.46711207704522417, 0.015286244005035799, 0.8971013921082003, 0.14294569415164748, 0.4758437503410098, 904819.1216738186, 0.0009624402876841486, 233038.41700950524, 151729.08918607843, 291664.51955390745, 9.266553087305182e-06, 4.1925221166632305e-06, 4.66271110129709, 0.004904499147969623, 762464.4213359214]",924841.73569458,1.72371864,924841.73569458
"[4.095256064539341, 0.31419520064114415, 77.01630967788466, 12.436771938406633, 28.1709229595121, 0.12515776713131527, 0.4368175311060166, 0.04154910541586142, 0.6688636781421944, 0.6427245135937361, 0.8388102009751834, 940470.7318390249, 0.0008978048890047503, 314084.70550254686, 103290.67244479025, 242833.88499346154, 6.147268644668751e-06, 5.664814974272607e-08, 4.18785515095026, 0.001949689437333063, 819264.891701337]",11767320.17840043,2.33531547,924841.73569458
"[30.547433168649732, 0.2910955782134327, 60.286794983369845, 20.376671626772893, 67.69925093760905, 0.9902606026335403, 0.015304967241803205, 0.043774349446461434, 0.9982011108415153, 0.7954307145316275, 0.8423998948259401, 922429.8825360083, 0.0009119789082323688, 188421.9978220774, 32382.051223284972, 260722.4750105524, 4.531853136868477e-06, 2.1925695598967307e-06, 3.6931388952820123, 0.0043107819252664985, 684869.8035995155]",13612902.28955824,3.24820614,924841.73569458
"[3.0160648630760276, 0.4985376018467238, 36.59450759184524, 35.27933348318409, 64.97242620005238, 0.07656454997197337, 0.24900019880667612, 0.0290377561787346, 0.9560439519131014, 0.0208832881391298, 0.17048506373847894, 853713.0487322909, 0.000950316445117119, 231195.36393462977, 100168.40130995035, 274015.6858893207, 7.921017632335158e-06, 3.4983065006348227e-06, 4.118292900831307, 0.0026471099820839913, 752170.1280026729]",855094452708.1123,4.11347175,924841.73569458
"[10.00552837137663, 0.48024771835829083, 47.39304540854954, 3.1157322147731152, 81.5089010968299, 0.13480144208831363, 0.31468405745351014, 0.033153622455509464, 0.9003226279152039, 0.2162535100842927, 0.5306852392512303, 889826.2001983622, 0.0009570344018357606, 162563.70431696388, 126373.61219782669, 222550.52894049138, 7.860573950907349e-06, 1.1268595570653008e-06, 4.2055608301820975, 0.004608615042830285, 697625.4183305901]",686076.13028678,4.72256446,686076.13028678
"[13.547923254723052, 0.46073982671810393, 27.4474051371, 7.935986592998129, 89.93349300023688, 0.3992150220551869, 0.5758061403331451, 0.014434081393652081, 0.575951949357526, 0.010265358445039355, 0.6946040975796823, 949691.499891782, 0.0009640792235277096, 272505.182001338, 68426.1612257639, 247002.17685269588, 7.161051899445841e-06, 7.50639252429851e-07, 4.26081338104223, 0.0020067887785148383, 676545.6600560668]",2132202705304.9648,5.01534915,686076.13028678
"[14.382339861242162, 0.4134244002489422, 18.16907559487673, 12.133039732467811, 83.58931788071082, 0.014728487918655785, 0.8400316665061045, 0.029976018840110752, 0.60295990951766, 0.6425268823189425, 0.6697316384743033, 922409.5295571942, 0.0009580299993364066, 292388.3931256738, 120171.17867241602, 297059.92933901923, 5.299450398664818e-06, 3.2604886804556618e-06, 2.502898190233429, 0.00613530268089868, 735633.4026621798]",12202125.70358844,5.90085125,686076.13028678
"[24.06484415597361, 0.3735314022547076, 17.93645514648502, 10.242272277351166, 84.57902450038976, 0.2433916454820923, 0.7980974927143797, 0.010236083926323185, 0.5981715115599823, 0.28060857342348167, 0.9152032522962219, 907389.3943901698, 0.0009684006232400457, 311259.4775831079, 7417.548211926005, 271943.669078936, 3.6744176154172556e-06, 3.524837382275164e-06, 4.373559131264495, 0.003561198272388523, 779791.4445922795]",4841449.62604123,6.75239086,686076.13028678
"[15.342353708412958, 0.41712985095372446, 6.797520794653244, 13.805702365953756, 58.79679406866123, 0.011695172475720305, 0.8853857200517997, 0.006451376780491865, 0.23470493208368437, 0.5606439897670664, 0.8895969387964577, 864741.750525136, 0.0009998704270760736, 241409.21176395618, 5364.266506176742, 317443.8837405993, 6.2033862460810814e-06, 1.5929489038323446e-06, 2.5251154281989336, 0.0029077093148969055, 774165.3858628136]",13489773.80236822,7.59160542,686076.13028678
"[24.78024214360534, 0.37067711314175966, 16.368399931940434, 8.690869270462555, 78.72902277719777, 0.2689826816019749, 0.6374524428121753, 0.0037249493232276707, 0.6332074841504921, 0.1961415130343395, 0.728827372594366, 860165.8293127937, 0.0009631932958632712, 197219.40991747117, 27830.238399840186, 327075.38257413445, 5.650457657777347e-06, 6.7929720427320525e-06, 3.2551853758637446, 0.0028875211754171414, 846228.3160674708]",13273777.72813324,8.45993423,686076.13028678
"[22.301258243691528, 0.32270787728317707, 48.98205754169016, 10.403196992127373, 88.66500379539275, 0.2524820577536506, 0.7121322234509369, 0.008360945923057483, 0.23062349326658083, 0.11745271769346885, 0.20427004772016932, 771254.3360971184, 0.0009919162685496604, 346737.3059904111, 8910.001221740153, 392151.11808174005, 6.609520620680014e-06, 6.962340503881427e-06, 3.5541107928294116, 0.006938083608923749, 774986.8428976696]",8597318.27086089,9.33224106,686076.13028678
"[15.59317807332776, 0.2427288325035322, 32.428651281854755, 1.1721140591563846, 81.9288619947618, 0.21870263291519088, 0.5129491346392935, 0.0050317779894864835, 0.4642549794914004, 0.3147562532922576, 0.7328963959232968, 880945.8279322784, 0.0009999959209807281, 284635.81694335374, 38548.52845797367, 426997.39981354936, 7.397553027819152e-06, 7.178971675726616e-06, 4.2795076718156615, 0.006951429154045114, 881178.3673194625]",12948746.52711451,10.20169616,686076.13028678
"[6.96572876464735, 0.4362144702506433, 25.939961183346647, 7.004506983942243, 61.283539581983234, 0.03412073055647413, 0.7772476676609431, 0.001519557749787581, 0.6406293212104094, 0.4684542102887629, 0.9793562079839387, 757393.8489629522, 0.000975965410395714, 311330.80491506786, 18194.741423687672, 334109.6913379008, 7.315021568488821e-06, 4.459227346899832e-06, 4.804080661624916, 0.009331157517364276, 781990.632829392]",4007517.16609404,11.02941489,686076.13028678
