params,sse,elapsed_time_s,best_sse_so_far
"[2.623415003319389, 0.04789591887369227, 25.77351873134937, 29.66498616817168, 19.20871772632492, 0.540872782814665, 0.9029611780508405, 0.06220721746201741, 0.5656708107855423, 0.29171498013244135, 0.6841680707108116, 495278.94191513176, 0.0004116380868504789, 902120.3217712742, 620196.4541536887, 816321.1117992683, 4.127036063553082e-07, 4.312790263862235e-06, 0.8970038336407109, 0.00350472368993239, 742977.0574090981]",14585511.04450206,0.50688815,14585511.04450206
"[21.585540964114543, 0.47170004120225606, 5.817938202102823, 10.648555538601238, 41.10131636438344, 0.8267477607254473, 0.33711003536751843, 0.07985356197417598, 0.8591846656468957, 0.8859313386781067, 0.013552407852746222, 550653.8685728133, 0.00033093804357359424, 167404.9339304744, 840718.1828216146, 625120.2388791599, 1.6407874935931408e-06, 4.857543712843507e-06, 4.72023589881101, 0.002704437347573655, 12392.465799565656]",1.4764652333705475e+18,0.58605909,14585511.04450206
"[36.93079653587599, 0.17302771951632134, 70.9318030906971, 31.105488739374096, 10.68086185674277, 0.4360711766278689, 0.4269461917888454, 0.06101153109206717, 0.16107921489296306, 0.6629845164319054, 0.24844093370772227, 294698.8286587102, 0.0009819793487451723, 377302.8933626058, 56333.1379920225, 916527.9108546007, 1.2753277195645537e-08, 3.66696957696019e-07, 1.8725138266760601, 0.0076283580859281466, 31064.947312080967]",13644395.67307825,0.6496129,13644395.67307825
"[13.87488975538019, 0.4085547471909535, 30.891022543226313, 23.216801563014705, 42.191732975440345, 0.22902330520988556, 0.6543153400931566, 0.07105885849402498, 0.03892067050994452, 0.9229014977652638, 0.6671443971525793, 487676.1893285793, 0.0007177916573773111, 939291.8891974699, 853013.8268820924, 454787.2721657954, 5.034505678342443e-06, 8.292891879636343e-06, 3.530983323951444, 0.00867633674756867, 755031.4136486299]",13632968.96427921,0.71357083,13632968.96427921
"[22.138471985643402, 0.3481930282778885, 84.40679036973472, 37.92960085703506, 77.29945197088406, 0.5666423199750402, 0.44184386681974525, 0.09031362228008681, 0.5142415351894973, 0.5750417438704104, 0.6070380526437911, 506777.3342340714, 0.0001817952232092246, 742183.024053852, 813735.477875702, 871146.8472646215, 8.160305834884739e-06, 8.069930934313097e-06, 3.8583070822458723, 0.004032108041299245, 865222.7651268559]",13510070.25068229,1.00740123,13510070.25068229
"[36.47421974063642, 0.09605207472548279, 62.090560460442475, 31.773466598774323, 75.02829643439316, 0.3122607768436269, 0.5432216745508163, 0.052672709707539234, 0.5021030487195322, 0.035014883808715716, 0.5763250625049173, 926293.7741869441, 0.00021903459077599792, 274967.12270662305, 340633.0580212636, 632322.1896809979, 2.4082377311827375e-06, 9.329409505621812e-06, 3.410928188459316, 0.001730518475841316, 600635.787969718]",4549122.34699019,1.25693941,4549122.34699019
"[11.505853349571387, 0.20275427539607327, 83.31516096201506, 48.83276952809888, 97.30741318334395, 0.7298696926636214, 0.9742909136973068, 0.005225074941892629, 0.13335146826152786, 0.6799883643221009, 0.07197666328518362, 548665.5526415693, 0.0002047328398591255, 232211.89821674593, 295060.223463392, 189141.27229678718, 6.935259378949132e-06, 6.5119541204945886e-06, 3.9122775192974477, 0.009909053954432213, 679987.590397846]",12350709.48681324,1.61651468,4549122.34699019
"[42.62035276097538, 0.23415987266071606, 2.0010655213091804, 38.279995536144256, 80.81581505564291, 0.22691779007702179, 0.5888592776660617, 0.056361511864285486, 0.18690814546229081, 0.5183398801705291, 0.17087663775386988, 513879.07690850325, 0.0007282470318592939, 821648.5574595105, 561467.3569794464, 739658.6010410688, 3.3329423693457213e-06, 6.7224740439650005e-06, 0.8327399424711113, 0.0055025925087073685, 212335.71957252242]",13182898.10831669,2.37201977,4549122.34699019
"[5.538742448294119, 0.40447192167669427, 32.952827237492784, 49.46408991700363, 8.415089027584562, 0.27296379157892453, 0.7542821055359233, 0.09496224305775616, 0.7055672940669657, 0.1353871417937354, 0.6170621252953916, 438427.58159412065, 0.0006275657107048907, 812510.5185327277, 213158.53883868246, 752341.6211462023, 6.3423546398231135e-06, 8.574574477521467e-07, 3.0348339348057887, 0.008305091090696133, 533374.1196782718]",2284322.5992774,2.70566535,2284322.5992774
"[8.973795118234579, 0.305236248508094, 21.999052297692998, 7.106315095300413, 23.953063590424623, 0.030230922042191063, 0.3232466699011473, 0.08435770402725132, 0.8769086350403544, 0.8375133489116157, 0.6733654025372551, 778457.8502656873, 0.00037121185013151226, 311942.7393947005, 163518.40320348734, 885933.1762582045, 2.3285224516121317e-06, 2.2825944343393103e-06, 1.8260918532216044, 0.004899496832283919, 118380.83005743705]",13341459.88710577,3.13734198,2284322.5992774
"[14.283718420571244, 0.297302592423588, 33.89264489291766, 32.52582971781067, 9.438181837252674, 0.5308236349407013, 0.9594628724368447, 0.057057897667219845, 0.07240242472658749, 0.6863285076171903, 0.2854681727798765, 309818.1156545088, 0.00048642165461535857, 863432.4367882392, 759052.8101793586, 24210.37135622742, 8.877718055617988e-06, 8.931008664870636e-06, 3.9715487170259487, 0.0022425931052837064, 311980.0241461952]",13634107.93668597,3.90269661,2284322.5992774
"[43.69073537261793, 0.28243102290119604, 86.45069415896467, 32.896140819850814, 95.40955912894857, 0.6108774924089115, 0.6352059553309741, 0.04361859001136426, 0.6084682090703465, 0.0866322147421541, 0.058487211996404484, 12605.196711296425, 0.0004666034547717437, 39683.89890079925, 905723.3061192262, 557648.7636726691, 4.261583712441936e-06, 7.380604445549886e-06, 1.169696602376635, 0.004190399016522665, 949107.3454543058]",13622886.7897593,4.66478896,2284322.5992774
"[32.12719745383754, 0.32989298988467974, 3.3822825931905163, 28.155457502993485, 20.85607721845036, 0.5761287554259745, 0.6967955461304074, 0.03923411850274703, 0.05263282455011341, 0.7920278937066038, 0.7955914782064588, 128863.32442428703, 0.0009564207976753597, 496035.311725173, 822417.8070823477, 567394.9884756755, 2.273638690381196e-06, 3.7758313513964786e-06, 1.196188256423571, 0.008012683483409395, 803549.4161065887]",13644665.06530719,5.33330011,2284322.5992774
"[32.694109854787456, 0.10883929941826939, 89.08993077058179, 24.535813445991575, 20.118053747238754, 0.14432791086613012, 0.34992205208715516, 0.08743357808089502, 0.3817079648488716, 0.815406435714323, 0.5706622751378884, 890256.0963357565, 0.0007948313947718963, 229955.55560215318, 81375.11015317148, 541648.090968494, 1.5214388525281935e-06, 5.457156588766216e-06, 4.591727189514837, 0.0077502097645037685, 276000.49936473015]",730100.13467693,6.06087589,730100.13467693
