params,sse,elapsed_time_s,best_sse_so_far
"[17.95959709254101, 0.44991535380971936, 70.65042926676563, 16.62739546037203, 81.72081553217973, 0.6749442921267685, 0.704350338371256, 0.024087378618593287, 0.8678475728170558, 0.736392459869587, 0.28288935576687735, 185715.98402377404, 0.0009702037074647887, 95004.62947101545, 179694.41208009105, 222555.11456606915, 9.595043424021208e-06, 7.581593197793977e-06, 2.1269426748234332, 0.007844891624293134, 393714.56555221585]",12724807.62185258,0.38221669,12724807.62185258
"[49.93679467804867, 0.1026829791158323, 48.16248838584353, 45.06919854002686, 38.47929288222479, 0.8898528777812411, 0.5676119899971954, 0.062301022959471854, 0.5031673588913246, 0.6846750721216552, 0.459776481635847, 200919.68771861002, 0.000983786685954621, 28142.25323151666, 171772.73579564306, 88252.1687901587, 8.27157615686372e-06, 6.808950940298858e-06, 1.5261705462204556, 0.008914117283154102, 341664.34757861646]",62479520.37382677,0.45085788,12724807.62185258
"[35.23487121104581, 0.4024760148516896, 35.18719616730307, 38.836729107477765, 33.140437593462906, 0.25009543082704466, 0.38979412123403706, 0.08785696005494018, 0.4727076532009008, 0.7369669113425764, 0.5738715438569016, 170936.9024901738, 0.0009401117427306177, 18518.60641747259, 86827.75264088661, 212713.41506362482, 9.421251435975224e-06, 8.288556400880758e-06, 2.817535281804785, 0.0007455427487670222, 417324.3177481994]",10733399.62607162,0.60444832,10733399.62607162
"[37.23057314524846, 0.312567531610119, 8.874560909262343, 26.25857449938718, 42.22726228302442, 0.9879753308294931, 0.9101860096522881, 0.08280498907255168, 0.8561104629328624, 0.5549045335266254, 0.7668839852405548, 95666.97359887203, 0.0009973078668202484, 100646.9964539587, 177267.70898601518, 241761.64054411292, 8.985324043137771e-06, 7.159399345696654e-06, 1.4217407567193148, 0.009200270623952051, 403385.9419792434]",215416902.4697794,1.19757771,10733399.62607162
"[10.955586789935765, 0.1807111370196212, 60.41089866157444, 21.051013884851166, 59.4801791957218, 0.39022246794299487, 0.11239709444973217, 0.0529748042838257, 0.5465130429165569, 0.5347469935399483, 0.3100077017701187, 96206.96191000004, 0.0009643160967407005, 35577.814741933806, 95819.17097265036, 205464.36525791162, 9.757384050918898e-06, 8.038018146383779e-06, 4.098314884809518, 0.0022915587780655998, 415838.07991173083]",7326135.10117239,1.80720115,7326135.10117239
"[20.69330390364459, 0.3282027070626985, 30.493206587572793, 13.09388741560553, 79.04476287626636, 0.401622134897881, 0.09994801997886249, 0.05791100533149078, 0.5435911378518742, 0.5788904625338652, 0.2835346410630927, 140395.09978125477, 0.0009588277419663312, 65660.40850880301, 103763.40306737271, 191506.22562778197, 7.082509465016282e-06, 9.283115931771726e-06, 1.4417847742723984, 0.005543289086137151, 382238.6033065448]",13101203.07201359,2.00945878,7326135.10117239
"[34.78652225040351, 0.4231143758187215, 65.61104131263319, 40.736149617380306, 59.322621633979395, 0.10158657934737392, 0.2194347793291729, 0.09975878873151514, 0.9952580887933509, 0.773545032991612, 0.49172769175008946, 105299.39333279381, 0.0009353523623694976, 113737.01337367421, 204020.83086660723, 221135.41973176273, 5.370539753925651e-06, 6.5038896587901344e-06, 3.5075636514690807, 0.006933628455069297, 303415.0140017679]",2186567.93498959,2.07208657,2186567.93498959
"[14.219540242855256, 0.4101814661819307, 99.30857953093447, 14.031574872440771, 98.81662137268499, 0.22739074671267695, 0.11047221643985805, 0.08319943639652408, 0.8863817268594961, 0.2532150511712531, 0.3783991000324535, 173018.87175452785, 0.0009749197839333636, 59789.507134916494, 273129.6870199038, 234734.5730204105, 7.649669057493502e-06, 2.6956091820048824e-06, 2.704109653693487, 0.005918440726659611, 397074.03495130595]",11222705.22850753,2.77216554,2186567.93498959
"[21.99420137117913, 0.3993125905992937, 97.94162647390976, 8.402606829974294, 58.213690429119964, 0.35194901387144784, 0.3181394426546086, 0.09065760961096392, 0.13347408322981502, 0.516865968427964, 0.769773957435386, 101287.85659150587, 0.0007688003840972833, 141161.65469839345, 245810.54320324183, 265042.25509324356, 7.845706856524061e-06, 5.48313511147674e-06, 3.588507095783962, 0.008250777785009399, 285571.8481955377]",13086095.51586293,3.43247485,2186567.93498959
"[40.83688018336045, 0.3612822025201097, 94.91517632175844, 28.73897217115051, 92.198262766819, 0.5857394359032967, 0.2324791131696919, 0.09578049398258073, 0.4541467373350327, 0.6083514611780126, 0.6822518561841605, 116958.39510208071, 0.0009999948923949166, 133721.17017299726, 108270.22890456897, 256691.17824521803, 7.324551382790146e-06, 2.9217283150561357e-06, 2.013202221714929, 0.00842640876165668, 285623.81028664036]",13104607.0199514,4.10153675,2186567.93498959
