optimizer,dataset,seed,min_sse
lshade,lshade_3,10,74857.36763685
cmaes,pso_1,2,1037294.14398551
cmaes,dual_annealing_2,4,35138.33765536
pso,pso_2,5,76142.57442233
basin_hopping,basin_hopping_1,6,43592.44828533
basin_hopping,basin_hopping_2,9,67982.77858281
dual_annealing,dual_annealing_2,10,61917.19150738
pso,pso_1,8,824714.98932345
basin_hopping,cmaes_2,5,116894.77726302
pso,dual_annealing_3,9,1291810.83451134
lshade,cmaes_3,6,139861.67370829
dual_annealing,lshade_3,10,79530.33600714
dual_annealing,pso_3,8,941950.3520777
basin_hopping,dual_annealing_1,1,73570.49931001
basin_hopping,cmaes_1,10,78316.3469574
lshade,lshade_1,10,53103.87863891
lshade,pso_3,8,51067.36464718
pso,lshade_2,5,1086491.46320061
dual_annealing,lshade_3,8,262688.20775879
cmaes,lshade_3,8,51198.29069509
pso,basin_hopping_1,10,2268559.00689562
basin_hopping,lshade_3,8,66190.90934927
basin_hopping,basin_hopping_3,10,195765.4950297
pso,dual_annealing_3,1,2247636.79840408
basin_hopping,lshade_2,7,45652.55405636
dual_annealing,basin_hopping_3,3,78214.10178863
lshade,dual_annealing_3,9,44493.88195894
dual_annealing,lshade_3,6,1829638.43351878
basin_hopping,basin_hopping_1,5,41116.21210453
basin_hopping,basin_hopping_3,6,66507.34395502
lshade,cmaes_2,6,155745.7454493
dual_annealing,basin_hopping_3,2,2772120.47911615
pso,pso_3,10,476865.45002997
basin_hopping,dual_annealing_3,1,46190.86350861
dual_annealing,dual_annealing_3,8,511852.64139206
basin_hopping,pso_2,1,42148.46851552
dual_annealing,basin_hopping_2,10,223995.28283651
pso,lshade_1,9,1334992.59733685
cmaes,basin_hopping_1,7,36038.09463458
basin_hopping,basin_hopping_3,8,107430.75967878
cmaes,cmaes_3,6,99770.95547899
basin_hopping,lshade_3,2,56214.05915845
lshade,cmaes_2,2,130072.74252841
cmaes,basin_hopping_2,7,48947.35173137
dual_annealing,pso_2,2,35591.97005103
cmaes,cmaes_1,8,95117.61582748
cmaes,dual_annealing_3,2,128282.49244495
dual_annealing,basin_hopping_1,3,36016.13349045
lshade,cmaes_3,2,153162.6530456
lshade,dual_annealing_2,3,67845.97531419
cmaes,dual_annealing_1,3,43880.04499739
pso,basin_hopping_3,7,3252540.42400709
dual_annealing,pso_2,5,35450.95949604
lshade,dual_annealing_1,8,116619.57460552
cmaes,lshade_3,9,51044.74879246
cmaes,pso_1,3,49706.19371681
cmaes,cmaes_3,2,46147.63257019
basin_hopping,dual_annealing_3,7,137153.52524555
cmaes,dual_annealing_3,3,34961.81606078
basin_hopping,basin_hopping_3,9,81724.65580919
lshade,basin_hopping_1,1,54373.51010102
pso,basin_hopping_1,9,1462306.29311788
cmaes,pso_1,9,103068.98464164
cmaes,dual_annealing_3,5,34005.78668492
pso,dual_annealing_2,1,860695.9076106
dual_annealing,cmaes_3,9,1516572.59365592
lshade,pso_2,4,35428.21467583
dual_annealing,dual_annealing_1,7,707299.43736068
lshade,lshade_1,3,42424.28995955
basin_hopping,cmaes_3,2,119911.65547189
cmaes,lshade_3,1,206046.60774658
dual_annealing,dual_annealing_3,9,635482.77837849
pso,lshade_1,4,1261439.84080475
cmaes,cmaes_3,5,99563.58634473
dual_annealing,pso_3,6,960281.73534641
cmaes,basin_hopping_3,2,49559.11348116
cmaes,lshade_3,6,51204.57580119
pso,basin_hopping_3,2,2918293.17556923
lshade,pso_1,7,48385.32455311
basin_hopping,cmaes_1,1,100857.0896786
lshade,basin_hopping_3,8,85762.32453699
dual_annealing,cmaes_1,8,595547.89778438
lshade,pso_1,10,49730.51747423
cmaes,pso_2,6,35414.32193032
pso,basin_hopping_2,9,1518208.20431778
cmaes,pso_3,2,48907.17144909
basin_hopping,lshade_1,2,42345.71364835
pso,lshade_1,5,1115067.37982812
dual_annealing,lshade_3,1,398285.1662718
basin_hopping,basin_hopping_1,2,193675.9110911
pso,basin_hopping_3,4,2881006.21271416
pso,cmaes_3,6,1442132.64301093
cmaes,pso_3,7,47166.96136731
basin_hopping,cmaes_2,8,187812.19543862
lshade,lshade_1,1,45501.08333649
cmaes,pso_2,10,62276.24692343
basin_hopping,pso_3,7,49011.52623597
cmaes,pso_1,8,47539.60047435
dual_annealing,pso_3,5,51833.38274248
basin_hopping,cmaes_1,3,91890.96777763
basin_hopping,lshade_2,10,48454.15169577
pso,basin_hopping_1,4,389868.30179466
pso,pso_3,3,664058.501885
dual_annealing,dual_annealing_1,10,345103.2023555
cmaes,pso_3,4,46925.55837055
dual_annealing,pso_2,9,36079.31816659
lshade,cmaes_3,5,123591.96659392
pso,cmaes_1,6,1397249.93419899
pso,lshade_3,2,2218977.40054949
cmaes,lshade_3,10,61045.8801548
cmaes,basin_hopping_2,8,87142.62657293
pso,cmaes_2,4,2220635.61832946
basin_hopping,cmaes_1,4,83066.23699005
cmaes,basin_hopping_2,3,48205.43196156
dual_annealing,dual_annealing_2,6,1042981.80386953
