optimizer,dataset,seed,min_sse
dual_annealing,basin_hopping_2,1,628395.93286438
pso,cmaes_1,4,1758644.05022004
pso,lshade_2,9,1312509.1387216
basin_hopping,pso_3,5,51976.12537892
lshade,cmaes_3,8,126343.45145368
cmaes,lshade_2,9,253078.41293202
basin_hopping,pso_2,8,35487.25175534
dual_annealing,pso_3,2,48964.47404997
basin_hopping,dual_annealing_3,6,37035.21085715
dual_annealing,pso_2,7,35500.81034307
dual_annealing,lshade_2,4,50787.58421204
basin_hopping,lshade_2,9,45043.99295112
pso,basin_hopping_2,7,3135347.74674739
basin_hopping,pso_3,2,49320.41097487
dual_annealing,basin_hopping_2,7,829692.21764934
basin_hopping,cmaes_2,4,74655.94819798
pso,pso_3,7,2096759.06531746
pso,dual_annealing_1,2,1946037.97698535
pso,cmaes_2,3,2155859.12158598
pso,basin_hopping_3,10,837816.26174628
dual_annealing,cmaes_2,3,1344591.16459701
dual_annealing,lshade_2,10,665624.5088171
cmaes,dual_annealing_1,8,44080.31354571
basin_hopping,cmaes_2,6,109413.22774999
dual_annealing,cmaes_3,8,1163687.94230824
pso,basin_hopping_2,5,1445534.68547738
pso,basin_hopping_1,8,740337.60866034
dual_annealing,cmaes_1,4,128327.07050001
pso,pso_2,7,636988.63982332
lshade,lshade_3,5,106188.48392973
lshade,dual_annealing_3,6,43255.03589599
cmaes,pso_3,8,70877.30518187
dual_annealing,basin_hopping_1,5,756257.86019573
lshade,lshade_2,4,62280.32381441
basin_hopping,lshade_2,2,65247.49061441
basin_hopping,dual_annealing_2,7,120666.48990688
dual_annealing,pso_1,9,52023.67727826
pso,cmaes_3,1,2522239.77414227
basin_hopping,pso_3,1,50463.61171558
basin_hopping,basin_hopping_1,10,63736.76617906
dual_annealing,cmaes_2,8,60269.85972005
lshade,dual_annealing_1,1,53465.46977499
basin_hopping,cmaes_3,6,295240.39875844
lshade,dual_annealing_3,10,56303.52584491
dual_annealing,cmaes_1,3,112171.56983489
basin_hopping,pso_2,2,35478.71695983
pso,cmaes_1,8,954756.31816145
lshade,dual_annealing_1,6,50475.89914875
dual_annealing,cmaes_2,5,1068869.05849842
basin_hopping,basin_hopping_1,1,41145.60945926
basin_hopping,cmaes_3,1,111283.57843486
pso,dual_annealing_3,7,2619577.9185984
basin_hopping,cmaes_3,5,54712.01554086
dual_annealing,pso_1,7,49708.3079021
lshade,basin_hopping_2,6,97942.57724765
pso,pso_3,5,226378.9059719
dual_annealing,cmaes_1,10,218298.58193534
cmaes,dual_annealing_2,9,34627.31011309
dual_annealing,pso_1,1,49759.14899112
basin_hopping,lshade_1,5,40053.38443116
cmaes,basin_hopping_3,3,47357.99544255
cmaes,dual_annealing_2,5,682568.53419735
dual_annealing,lshade_1,4,74876.90689666
dual_annealing,lshade_3,2,126645.5649495
pso,lshade_2,3,2056150.6747023
pso,pso_2,3,429459.92280212
lshade,cmaes_3,9,118174.73479621
dual_annealing,basin_hopping_2,4,220159.27743003
pso,dual_annealing_3,2,2383809.57056976
dual_annealing,lshade_3,5,893945.92189104
cmaes,basin_hopping_3,7,858330.99666922
lshade,basin_hopping_2,9,88778.2646814
basin_hopping,pso_1,10,49902.30223186
lshade,pso_1,9,46203.44814816
cmaes,cmaes_1,7,267502.64088672
cmaes,pso_3,1,48917.17943069
pso,basin_hopping_1,7,3080391.73199282
cmaes,pso_2,1,35045.47845531
pso,basin_hopping_1,3,2229792.3755122
pso,cmaes_2,6,2391081.24554298
basin_hopping,dual_annealing_3,5,38308.38625987
lshade,lshade_2,9,58743.16371215
cmaes,dual_annealing_2,3,34643.13920406
pso,basin_hopping_3,5,1520674.47385383
dual_annealing,cmaes_2,10,544721.01723063
pso,dual_annealing_2,6,1156720.04732979
basin_hopping,lshade_1,10,150237.25782285
dual_annealing,pso_2,6,1048374.70897907
pso,pso_1,3,720195.67068329
cmaes,cmaes_2,8,715343.61578081
basin_hopping,basin_hopping_2,8,94331.53489325
pso,cmaes_1,1,1763641.57218477
lshade,basin_hopping_1,10,82900.83543706
basin_hopping,pso_1,6,50255.09909715
pso,lshade_1,7,2922336.33252889
cmaes,basin_hopping_3,4,44710.53252996
dual_annealing,dual_annealing_1,9,183498.44040471
cmaes,lshade_3,5,51149.8986575
basin_hopping,cmaes_2,1,112786.27042805
basin_hopping,dual_annealing_2,6,37705.33794067
cmaes,lshade_2,2,246994.9816503
dual_annealing,lshade_3,7,902831.48786436
cmaes,basin_hopping_3,5,60979.44662987
cmaes,basin_hopping_1,4,109580.27263492
cmaes,cmaes_2,5,331835.78770927
lshade,dual_annealing_1,10,60500.06090135
