time_min,replicate_1,replicate_2,replicate_3
0.0,5.317351617611051,-3.332382117456879,0.865982593159196
10.0,257.6900545425395,322.62842466708724,322.9338678504756
20.0,604.0823846774268,579.7076995334144,453.2974360501579
30.0,738.3120881502277,804.1661454459147,807.4234124988765
40.0,830.3761863694617,815.99142445209,926.5969895176795
50.0,792.3125244376373,752.8752786024074,907.1046117610414
60.0,654.3063798858017,931.6356793467947,711.3974785253394
70.0,746.6201230090386,719.2364360173872,811.5943226463056
80.0,756.5668514016826,770.217106816854,790.0440807332598
90.0,732.2179081497571,678.3723162637831,921.5724871681447
100.0,607.4000869778707,701.5290046128797,656.3545205929181
110.0,718.6211140455473,720.4490009945077,684.8682288178368
120.0,699.4814077781574,435.232508656699,611.378144062411
130.0,741.3510004954123,605.2042440712124,657.997956346338
140.0,708.7557577251278,542.0673842149295,492.8960008494084
150.0,523.8715549133888,716.5395323573106,661.6262239051811
160.0,591.3922442549915,662.0127259444295,454.66407406702007
170.0,591.3844968590488,444.6356561189351,582.5909287149426
180.0,532.0728801037483,568.0670592705452,588.1505487717284
190.0,681.2025157280966,533.4675894955601,449.09526005845174
200.0,588.159984156649,546.4960459367279,562.6081229638912
210.0,614.0945433195673,561.4222062150602,518.3757163843152
220.0,517.5209888658941,507.3318860198029,494.0800314063546
230.0,492.7290989431642,585.6887816648309,529.2372961738083
240.0,582.0966267235605,456.82125758914776,496.38702410734163
250.0,433.11223236572283,414.3758917754621,430.7242320988168
260.0,565.3249087747287,506.7065162519554,475.83109907504553
270.0,550.4137295187861,443.14851775088476,517.1626923261808
280.0,441.18953993179576,584.2634614711343,502.2722389634364
290.0,477.38220995253596,504.5491108516291,471.7101946044919
300.0,433.49102191470587,472.7870715469139,530.5886528959281
310.0,568.3750725683757,493.5596580421826,604.7912204530047
320.0,436.93115484292076,407.7020869422318,401.73594322522814
330.0,468.6816090137839,490.9602665184311,510.7245153005642
340.0,400.5576785962314,481.0645510201686,434.0883842792875
350.0,527.3228570856004,411.0366738712244,431.11778330190594
360.0,427.1661722389852,440.19526665316545,491.9981034318243
370.0,519.7675228316934,425.89798317611616,367.7685250160132
380.0,474.62281293915,463.7482821566927,446.7308467424235
390.0,426.3447580400085,469.6431115879361,405.103600310372
400.0,401.61504464806256,501.26238253314165,516.6895576953206
410.0,440.1371944954693,471.6396155211788,521.5914859199214
420.0,469.1061648707918,429.4967474018548,541.5152094448861
