time_min,replicate_1,replicate_2,replicate_3
0.0,6.875064603142639,-5.532104270461861,-6.374915407337366
10.0,303.78777416475907,265.0751762733467,334.36157425885267
20.0,652.0101446789314,510.61508789501465,607.8572635625486
30.0,767.2448382477888,772.6044140013055,813.6548592900199
40.0,1033.2321193932328,807.4719510472044,941.9242086744906
50.0,801.2484507853306,977.2337576151999,753.928684919882
60.0,771.4266199977202,864.6746898303523,773.2411769348762
70.0,747.6015809329529,801.5490544345348,714.6269255435705
80.0,731.3498510646309,911.5196767222675,737.88473203176
90.0,712.6579545970408,626.8550955598821,681.8846929152368
100.0,677.6815465558251,715.5208306299741,785.5314803855373
110.0,678.5940860413425,542.4766581655301,737.9149013115605
120.0,626.922442575719,507.0395360557839,630.0119048879559
130.0,536.6838839723321,659.150362794398,683.7824406547034
140.0,612.9448218078757,690.7713657648046,553.2391767855353
150.0,550.2810330322866,632.517366573404,491.35917873139135
160.0,568.1831302375957,605.1863096164465,557.3714181940095
170.0,447.7755143581575,494.03861542284216,532.0316101226308
180.0,559.0488866801414,559.1798232536676,583.707582225399
190.0,537.5365301337331,485.94578981207184,511.84527897253287
200.0,539.6920533636426,514.6690067674966,465.6771799826816
210.0,505.1258213335943,535.3234320151504,541.804812256303
220.0,418.0743896163915,465.2617057556356,699.2112193042528
230.0,596.9171109702577,512.2175257614184,375.556170269946
240.0,569.6441722094445,520.5134354696628,470.536053752566
250.0,462.0831808171998,478.1591752660459,464.2136165190705
260.0,437.78860970661606,612.4228931093758,529.0729783049011
270.0,522.8657319423517,425.30288779093985,467.5611764098001
280.0,531.4463622653747,477.2032293095508,637.8824162009448
290.0,477.5108206364688,481.2309170947778,528.9578974720065
300.0,512.6881853312912,444.35205600484574,379.0192765767124
310.0,465.9804233874023,463.10620639338657,512.6626818477845
320.0,566.5604656885669,452.5801095775395,506.93053615494085
330.0,472.7870752030852,488.4274894489009,480.28756996919486
340.0,528.0775048389927,576.0431342608869,521.095034880573
350.0,353.28503317921223,478.4422052266858,379.9711546401845
360.0,420.6752000310498,430.27906788373275,422.89949953646243
370.0,395.3022974750377,468.6191537564077,438.7955920899935
380.0,368.5889561754171,473.07317036224356,478.9309561913317
390.0,390.3226341118623,406.29745770099964,420.6911965446468
400.0,496.576042116008,501.77268119304733,428.84116636185996
410.0,426.7109207735089,435.167742459813,477.96241493396246
420.0,490.93625876617864,436.9028044680292,566.6684240229698
