time_min,replicate_1,replicate_2,replicate_3
0.0,3.9279343932324307,2.36106110633859,2.8412338802264756
10.0,275.07789313911803,327.2786303601643,379.9707972512002
20.0,539.1140740816481,527.9488375801552,611.1639127904908
30.0,664.5375523501936,818.0321595060387,697.529707031458
40.0,748.3148540936928,800.5605175964787,814.9555852806845
50.0,808.4311836405817,938.7840558995711,779.0814953808883
60.0,723.2703438178886,805.6678026715435,728.292336169113
70.0,720.6006919451205,743.1108000278322,786.9121611855303
80.0,749.897420679838,575.1618478881207,893.154935164127
90.0,707.7948555210828,682.6279257231945,643.7988479046372
100.0,591.9739331922208,566.6901777842731,744.6076040993563
110.0,695.8171802890673,560.3837256452236,626.3573415614452
120.0,628.2400930099922,660.370108166674,639.9356728163693
130.0,634.0070399262539,538.9875351239824,591.7493004161919
140.0,506.47650421530807,543.303884508971,501.3235461792009
150.0,549.0407941218882,633.7388233179731,497.72417643231506
160.0,693.8101047247462,588.1706317004335,426.8363865364393
170.0,551.8307938491388,553.5688526419359,527.3050984202663
180.0,540.1935238539867,546.2035048433605,584.3350592221202
190.0,612.7332044448251,472.6429841782686,520.0878263244571
200.0,511.60580741728916,515.2345249192562,459.27653288538073
210.0,496.5826795290316,411.6960950971073,451.88397100274017
220.0,559.6756856128301,546.6419997614864,530.3602035430353
230.0,527.0006159518949,516.1908771790369,462.24302769672914
240.0,450.45832671562505,521.2771062871301,477.95295260333796
250.0,539.5378287899399,442.9539387223658,517.9199160007665
260.0,463.9530073410462,498.0601891645134,500.79969779245215
270.0,400.78538322314176,477.96940678337415,370.69714271053687
280.0,489.3267970324489,519.6704815749387,496.37582571873065
290.0,499.28577537069833,413.45143396774586,445.08416460708594
300.0,554.8110706822123,502.07092403919296,620.2441324212502
310.0,543.9537745400733,502.3526685770904,545.759254521533
320.0,591.2947238153562,500.7447810741492,363.953119080687
330.0,472.46519809582776,491.34851319412724,497.68780033563246
340.0,445.33829224208034,424.2511658162395,415.21109466377436
350.0,545.2689552531695,451.3553974501421,484.6921907660336
360.0,419.1564249592344,500.1069324106491,603.8007093533677
370.0,481.88802663119395,535.7100458940471,486.80613570333816
380.0,469.03345198250776,455.6057753725183,506.4769274627373
390.0,430.56899695775036,572.6948131324145,436.65865229664206
400.0,433.5033405032797,482.6086979020543,470.57553479777647
410.0,453.1950237669753,445.93963809077,446.50658291379744
420.0,400.3715435909503,477.8915022861629,455.891327677819
