time_min,gfp
0.0,0.0
10.0,342.71214442512866
20.0,575.3122270594952
30.0,712.9266723518163
40.0,780.430099033369
50.0,800.8260011144093
60.0,792.553357938675
70.0,768.8400435165166
80.0,738.4297652452299
90.0,706.6057333143256
100.0,676.2341388540048
110.0,648.6381126688171
120.0,624.2370149246892
130.0,602.9697640758601
140.0,584.560740842395
150.0,568.6526792307988
160.0,554.8866649976404
170.0,542.9411787980973
180.0,532.53488335137
190.0,523.4327593744925
200.0,515.4420369447155
210.0,508.4031544958189
220.0,502.1826571721626
230.0,496.6674745622329
240.0,491.7674245853676
250.0,487.40119046380215
260.0,483.50602422722574
270.0,480.0235266509627
280.0,476.9042870035522
290.0,474.1074432552354
300.0,471.5951759315955
310.0,469.3348368328057
320.0,467.29863260910366
330.0,465.4675146513452
340.0,463.81411665852744
350.0,462.32268657881025
360.0,460.98182543854426
370.0,459.76717752623694
380.0,458.6711287575172
390.0,457.68266969939367
400.0,456.78680983003824
410.0,455.97664479972485
420.0,455.244080388028
