params,sse,elapsed_time_s
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.31255341,0.52379704
"[0.18776482443096884, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655448.13483620,0.58914590
"[0.18776481443096885, 0.05184171641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637653058.91495132,0.65480351
"[0.18776481443096885, 0.05184170641569705, 0.11254500772252583, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637654684.76510048,0.72194457
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090185996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637656233.17292976,0.78831530
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669506868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637656286.41326714,0.85310245
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518308905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637653361.36316872,0.91847372
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994788348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637660383.57075882,0.98373818
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287872370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637661039.67299652,1.05004287
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109022655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637662073.60158920,1.11641645
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367453966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637613003.68293190,1.18234706
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698483735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637621548.19083977,1.24565196
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604468, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.28893280,1.31074619
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.463852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637649905.84075737,1.37601948
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479517, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.21256828,1.44099545
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679525, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.33139801,1.50452185
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766072497, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.20596886,1.56902909
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 6.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637665281.49048615,1.63467002
