params,sse,elapsed_time_s
"[0.18776481443096885, 0.05184170641569705, 0.11254499772252584, 0.3875090085996994, 0.3500669406868429, 0.0013518208905770074, 0.00994787348480081, 0.0018287772370914755, 0.002109012655354742, 0.005367443966847165, 0.00698482735314783, 721602.2304604368, 7.453852819335296e-06, 554968.2017479417, 495502.1958679425, 446557.99766071496, 5.495216849041719e-08, 2.081307427054607e-06, 2.200193467514768, 0.00020929453794933957, 784712.8326342246]",9637655734.31255341,0.53081632
"[0.33303297434861434, 0.19710986439997924, 0.24771857147780307, 0.2553990380555076, 0.49533509959394706, 0.007825389417333913, 0.0031160298365779195, 0.0063023517977836615, 0.005177169682426004, 0.008435599150104072, 0.0029029837644640928, 602314.9391340017, 6.329038186918717e-06, 435680.91042150557, 542464.1161361001, 327270.706334278, 8.92806223477028e-06, 9.646201571335604e-07, 0.9088670313358307, 0.003277450444144754, 831674.7529023848]",14356280.36727995,0.59506249
"[0.23377791424763394, 0.03298049397542613, 0.08358920342996257, 0.09126966424062388, 0.33120573289468425, 0.0012703335133174363, 0.006460970529613824, 0.0017972928065431353, 0.008522114047108025, 0.0018805435147860948, 0.008347928156293654, 827531.6363789439, 1.924192777992326e-06, 726735.9267921299, 833519.1325067282, 618325.7227049023, 5.247763349563451e-06, 6.5497747482071705e-06, 4.925237655639648, 0.009248066733975985, 56991.45014733076]",20721954185025228.00000000,0.66441727
"[0.2159516903937827, 0.3873767781236378, 0.13063728244910344, 0.13831774325976476, 0.3782538119138251, 0.002792303519352769, 0.007982943795278167, 0.002921062162883298, 0.008695864494872313, 0.00340251305516014, 0.007719897544136231, 873733.253552705, 7.823428163953498e-06, 707099.2248402089, 813882.4305548072, 936668.0921011916, 4.262302116829897e-07, 8.328938633361507e-06, 1.723285734653473, 0.0067961452565910635, 103193.06732109189]",218048063.35950273,0.72341919
"[0.251960210163025, 0.1160371002143899, 0.16664580966892634, 0.42589323480939256, 0.414262339133648, 0.008652629715767473, 0.003943266732063861, 0.00482958890245056, 0.0060044102495580625, 0.009262839717236132, 0.007154345301654477, 370120.72606123984, 1.1847655273354336e-06, 203486.69734874368, 112462.63763029873, 95076.4932615161, 3.7775675750649258e-06, 5.810347497550278e-06, 2.1957942694425583, 0.0041046910112768125, 599480.5398296267]",742539931.63898706,0.78021336
"[0.34466546579252566, 0.20874234839330996, 0.2593510578478464, 0.2670315186585077, 0.2589848884793472, 0.006857859136058751, 0.0021484961523551374, 0.0025348374209115732, 0.0073269589892973825, 0.007468061686946813, 0.009085465320081495, 568892.8252664804, 9.528890010006356e-06, 402258.7965539843, 509042.0022685826, 827899.1554840654, 3.041380062900729e-06, 5.0741599853860815e-06, 4.358016818761826, 0.0054272397510161325, 332403.2020521723]",1029441838930.70581055,0.84927344
"[0.0009476544424730777, 0.364524544493838, 0.23725339886076047, 0.4228137222096163, 0.1632497834130961, 0.0036601997074324545, 0.007630711210441757, 0.004517033306995188, 0.001011980241223043, 0.004270402258320516, 0.007537806055333917, 974067.6260486841, 8.594928175722619e-06, 720320.3899563253, 827103.5956709236, 611910.1858690977, 1.205180804049034e-06, 3.2305101459374627e-06, 4.095781713724136, 0.009012261002941795, 203527.43981707096]",125919572364306.35937500,0.91205764
"[0.0056570254678490195, 0.2766787069668192, 0.3272874164213556, 0.33496787723201693, 0.07540394588607735, 0.00729421748012304, 0.009640082698562895, 0.0071711958501349034, 0.001801226216057096, 0.0079044200310111, 0.004877039973117883, 400631.14575805515, 2.6864682567243085e-06, 233997.117045559, 272595.55070494115, 125586.9129583314, 5.2867208850507246e-06, 9.432478286187692e-06, 3.197318695485592, 0.009801506977775846, 629990.9595264345]",4558184462.93377209,0.96926546
"[0.23030127461466587, 0.49627699512004697, 0.04738570457458341, 0.055066165385244725, 0.3926033961347083, 0.004592519121950147, 0.009284305287610156, 0.0070694924856367965, 0.0014454488051043573, 0.005202721672838208, 0.009171274339123242, 870143.7048011273, 1.7777484286303787e-06, 703509.6760886312, 810292.8818032295, 522542.6586025655, 4.370550476359871e-06, 7.5556346958047595e-06, 4.361135318875313, 0.009944580417459485, 99603.51856951416]",6044786987227.60253906,1.02510643
"[0.1659273954287913, 0.371250778951181, 0.08061298748411205, 0.08829344829477337, 0.32822951694883373, 0.00646630477762854, 0.0017569417939249262, 0.00674676676161636, 0.0054715688361110714, 0.007076507328516601, 0.0041939053633012115, 894577.4412749112, 3.4576915019856765e-06, 63213.596815913916, 169996.8025305122, 954703.3927286863, 6.050493549715169e-06, 6.191495245204937e-06, 1.9110079407691956, 0.0019183660731378778, 124037.255043298]",1247136215.76164269,1.09352565
"[0.04519033080030077, 0.40876721340108507, 0.39992982311436476, 0.4076102895129615, 0.2074924523203432, 0.006182737469094031, 0.004127280638311634, 0.00626360098635286, 0.006188420430515536, 0.009446849898193605, 0.0071603387074152865, 74018.0397913456, 5.548407292235701e-06, 956630.0786327571, 14167.216793447733, 848219.8745455295, 8.141209339965193e-06, 1.8398926245054505e-07, 4.009524375200272, 0.001634798764603369, 303377.85355973244]",4770620138.37082958,1.16084409
"[0.4077309084305931, 0.28798578256591983, 0.338594488295166, 0.33009697619773637, 0.08671101775988765, 0.0033013075492719095, 0.009413957730455147, 0.005350282598813835, 0.0006530880830624981, 0.004833530715627418, 0.009578901208610996, 923026.544331938, 3.217962802844153e-06, 756392.5156194419, 863175.7213340402, 647982.3115322143, 1.640862252707212e-06, 3.6661915945956407e-06, 4.059742948040366, 0.009575382009668098, 152486.35810032487]",164677031925.66372681,1.22323442
"[0.3528429800644069, 0.2169198626651912, 0.26752857211972764, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12967776.74984432,1.29869890
"[0.08709974117481833, 0.288086385203862, 0.001785333230139074, 0.40049830455982816, 0.08681162513639906, 0.009234425941812716, 0.00018276579277362652, 0.0010114044056227982, 0.006586202696668825, 0.005502327655719184, 0.006169742009552967, 33748.87723326683, 3.933465213175907e-06, 932810.5459882468, 231649.00414514542, 824400.3419010192, 6.526267260905399e-06, 1.5153733288576316e-06, 2.0444337725639343, 0.009776695941851996, 520859.6409114301]",1645977770.65707612,1.37057471
"[0.13049827526769375, 0.3738983828053532, 0.42450709225988964, 0.44389685355386466, 0.1726236218065677, 0.004623192654665444, 0.00038132002216193357, 0.006500173327486416, 0.001974973134811851, 0.00570088561039779, 0.009141509518211193, 976921.4616318159, 1.8205122236522109e-06, 886080.228210019, 927067.7364571411, 777670.0241227914, 1.48486123261366e-06, 3.5176411550990125e-06, 1.628832321614027, 0.009975253896530601, 206381.27540020272]",15646512.58612359,1.43186355
"[0.16019843847758514, 0.1226981426885616, 0.07488403053290588, 0.07251983837394826, 0.42092338262109863, 0.006423361945689292, 0.0021814893131857816, 0.0035503403614837226, 0.002297952051534963, 0.006023864527120902, 0.008918453879244953, 733280.6418319792, 1.3190721184276948e-07, 632442.3105869591, 673429.8188340813, 1323.8464225530624, 2.7247092595722616e-06, 3.4250655863237325e-06, 4.3090324848890305, 0.00039823281325371333, 439932.1955231875]",469395257704.77844238,1.50476575
"[0.09114586792315371, 0.2841909115775078, 0.005831459978474451, 0.4045444462093247, 0.25344799045647515, 0.002638932477932725, 0.000628910669881439, 0.002215924909746861, 0.002222560057241058, 0.003716629158955369, 0.0076658782381447185, 9274.857747554779, 4.532833064149417e-06, 908336.5265025347, 949324.0347496569, 799926.3224153072, 7.125635111878909e-06, 9.158415034364262e-06, 2.7504799142479897, 0.00032284081895980814, 388416.39704779536]",751070759.72346270,1.57412434
"[0.35348128315113053, 0.05418509019686957, 0.104793799651406, 0.1673798614373015, 0.016283405684451913, 0.005306205603184742, 0.0010643329706812317, 0.004610102214817882, 0.0026579823580408506, 0.006383894833626789, 0.005201297913849717, 533060.8307417464, 8.486752959189612e-06, 870142.7548698038, 473210.0077438485, 323812.29540949874, 1.089555006919103e-06, 9.738608993465895e-06, 2.997942252084613, 0.0007582631197596008, 762420.6445101332]",81176498.79716277,1.63987231
"[0.34961234938897934, 0.3402293442830361, 0.2642979414443001, 0.1635109276751503, 0.012414471922300718, 0.0023372672056028603, 0.004935509045833424, 0.005754357657489042, 0.006529162158483342, 0.003414960161335206, 0.006232357511428482, 551726.3562860005, 2.2985210113880505e-06, 701196.9155008681, 491875.5332881026, 342477.82095375285, 1.6760405164842857e-06, 6.924102981602895e-06, 3.413946393877268, 0.004629442920202092, 31495.060514274985]",862546303.72742712,1.70160413
"[0.30127924830514397, 0.40331967534101887, 0.2159648403604647, 0.3531413710264055, 0.4635813633878848, 0.008367715957888532, 0.0041258433253850224, 0.002794694466638137, 0.005719492712744642, 0.005481835348209574, 0.005449249493394611, 262782.63491277397, 2.5734676932686674e-06, 161944.30366775393, 689953.4553784356, 53534.09958052635, 5.16626974099816e-06, 7.199049663483512e-06, 3.8021132797002792, 0.003819773474463391, 492142.4486811608]",586992570925.73962402,1.76553845
"[0.25482185928966633, 0.11889874189045063, 0.16950745134498707, 0.3886631575209831, 0.23756670176813355, 0.0011467625036897043, 0.006804897321766792, 0.005466474921155448, 0.0025412696023564122, 0.006267182077942353, 0.000884588438916678, 436001.9258981198, 6.902826574143903e-06, 335163.5946530998, 376151.10290022194, 226753.3905658722, 9.495628621873395e-06, 1.5384085443587464e-06, 0.7586558908224106, 0.0006415503640751624, 697573.4052237719]",27614922.77695853,1.83649063
"[0.2888836611721034, 0.1529605437728877, 0.28277313162039547, 0.1819861178512457, 0.03088966209839611, 0.008212460301856014, 0.003970587669352504, 0.008585559016133162, 0.005564240782002422, 0.00929015325758836, 0.00340754952385825, 109545.85951720178, 2.81758195988513e-06, 529630.7034760602, 49695.03651930392, 421220.4993888326, 8.572884560311456e-06, 6.156644827968078e-07, 1.0267177075147629, 0.008160639457831903, 338905.6732855886]",13106187.01866821,1.89564133
"[0.235577054702918, 0.2169198626651912, 0.26752857211972764, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12970388.13091257,1.96521688
"[0.3528429800644069, 0.15115513880580578, 0.26752857211972764, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12922634.22157596,2.03157163
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12845531.60642462,2.10246110
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.056129466930310346, 0.015645101584449317, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",13044768.76311169,2.17323279
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.3190943591483044, 0.0001678986949823601, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",25624863.62852943,2.24964547
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0030899712615579636, 0.005826025552297313, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12863858.22162266,2.31151867
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.001994876509149693, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12822856.01889917,2.38720393
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12750118.14536552,2.45670319
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.006210388550765043, 0.001245591086888987, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12762170.49923261,2.52474999
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.0019216469803640449, 0.007362989105208459, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12935519.84699664,2.59221292
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 294518.38747651875, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12212382.26655705,2.65769458
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 6.159676628637581e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12119090.96025480,2.72817016
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12119085.85777696,2.79577255
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 412425.2813079655, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12224543.38515448,2.86333370
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 949803.4211048186, 85269.85214427114, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12130428.43477798,2.92941332
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 995257.0085217059, 8.752478676367073e-06, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12197790.84679949,2.99859738
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 3.6469964823194533e-07, 7.95258598852425e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12162327.85030907,3.06579041
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.0055199599904917, 523878.2012449056]",12119085.99700050,3.13031125
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 4.076404474675655, 0.0055199599904917, 523878.2012449056]",977317915208.75952148,3.19419622
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 523878.2012449056]",12070683.93246307,3.26412010
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.94981150,3.33063054
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.94981150,3.39554787
"[0.3528429900644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.95155077,3.45855784
"[0.3528429800644069, 0.15115514880580577, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.95089869,3.52301836
"[0.3528429800644069, 0.15115513880580578, 0.1520467878382769, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.94999018,3.58781385
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674156694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.96406520,3.65511703
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.01564511158444932, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050868.10312117,3.72103906
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001679086949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.94231945,3.78653789
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934916294581075, 0.007384795921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.92585114,3.85095954
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384805921825385, 0.00741967922877295, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.85057871,3.91469383
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.0074196892287729495, 0.001245591086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050867.91381544,3.97916532
"[0.3528429800644069, 0.15115513880580578, 0.15204677783827691, 0.16674155694925796, 0.015645101584449317, 0.0001678986949823601, 0.00934915294581075, 0.007384795921825385, 0.00741967922877295, 0.001245601086888987, 0.002928843896054348, 903099.1291654259, 2.3553529036455715e-06, 193680.05623149872, 234667.5644786209, 85269.85214427114, 8.752478676367073e-06, 9.156869584255578e-07, 1.0546770244836807, 0.009423348532849195, 400147.6496089846]",12050878.87344366,4.04403472
