params,sse,elapsed_time_s
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035550980529.00000000,0.52086592
"[0.022477156040326816, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035956933608.00000000,0.58373022
"[0.022477146040326815, 0.3962629458654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035498742497.50000000,0.64714265
"[0.022477146040326815, 0.3962629358654661, 0.08619178980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035336480426.00000000,0.70905399
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335895205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035628940702.00000000,0.77613139
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385410408993585, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035686964433.25000000,0.84540057
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654405920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654034007424839.50000000,0.91035032
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.0031785488501668018, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654036869700542.75000000,0.97375989
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246201430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654037277713597.25000000,1.03433943
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787470925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654036702089170.00000000,1.09927678
