params,sse,elapsed_time_s
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543928562.05395508,0.51756501
"[0.3693247489424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543915468.86865234,0.57424474
"[0.3693247389424665, 0.3509036838646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543878990.33789062,0.63299441
"[0.3693247389424665, 0.3509036738646454, 0.09329425257315697, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543750443.05346680,0.69602466
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879969035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543990285.12500000,0.76040483
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024979728015582, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400544068496.88598633,0.82532907
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787260784563233, 0.008139779373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400543682773.30175781,0.89026928
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139789373670625, 0.009451291058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400544478269.69995117,0.95483112
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451301058035972, 0.007277803257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400544454817.68701172,1.02256584
"[0.3693247389424665, 0.3509036738646454, 0.09329424257315698, 0.4540879869035191, 0.20024978728015583, 0.002787250784563233, 0.008139779373670625, 0.009451291058035972, 0.007277813257730224, 0.0034914131527316334, 0.004405456655334742, 849952.7429209944, 5.678018399860176e-06, 330769.6311553372, 577257.6051971992, 366878.919165811, 3.353148345881704e-07, 3.1761824251268435e-06, 3.237688251139882, 0.00814619955977103, 654073.9304948241]",1400544550254.94433594,1.09082007
