params,sse,elapsed_time_s
"[0.37293660185590294, 0.2029795537412496, 0.11887147585231243, 0.05468712635119949, 0.424731529962967, 0.000467225981049835, 0.008479863194279895, 0.009186696601762502, 0.0011557267102975692, 0.0014098852761296999, 0.0036066941665790866, 460345.6975351864, 5.50207065746444e-06, 758120.7519530174, 784339.5742443694, 145407.9669342842, 5.563591326462841e-06, 8.812508065589059e-06, 1.2780734054347485, 0.0026792266248060175, 84397.18141416082]",86688330.83330704,0.51533103
"[0.3842346736195446, 0.37144845314019986, 0.4571928436035208, 0.48680409648987527, 0.43834754471437537, 0.0020212833778983958, 0.0082799416240901, 0.008390291933897204, 0.00018385076367103548, 0.0032798226620836682, 0.004816039900251622, 477603.8627865912, 2.4179966636064072e-06, 730014.6447132605, 865835.4564680763, 229677.80917017098, 7.407355984397945e-06, 1.1224251444604577e-06, 3.268113915340514, 0.0038516010796492586, 54355.74986950096]",1428033083227.86254883,0.58171654
"[0.4070712924817461, 0.26590179713690487, 0.3773000534655892, 0.31970253083097544, 0.46154302150126414, 0.0009656701743923577, 0.0056572217485481545, 0.005927959856741083, 0.0014462348627877445, 0.0060036068159998145, 0.008773646152115374, 520433.9188548427, 4.545586602184872e-06, 732031.7638701736, 934011.3632821658, 161859.8586744544, 2.9306164112878636e-06, 6.096551692402807e-06, 1.9415554247508906, 0.008137750567502742, 28197.488085358913]",405042479.40837032,0.65124846
"[0.4238329065903149, 0.48218134118901745, 0.061450267863031566, 0.4083242238648526, 0.41386541425364576, 0.00010175925852613565, 0.008665083651310726, 0.009433550025972603, 0.0012087130548395705, 0.005695806202337997, 0.007308289880438707, 568737.3474763002, 6.473964335406546e-06, 760149.5598433556, 821405.422782113, 169568.07468328057, 1.6448496191086545e-07, 6.9348365098907384e-06, 2.3098283371489607, 0.007161124850974454, 129081.52121142996]",9306679330.89116096,0.72451258
"[0.25901372548600854, 0.13664401042202648, 0.1202618594693358, 0.4641199333730004, 0.282362726800615, 0.0006568510850764968, 0.00850452667943233, 0.008249263185560584, 0.002898464010957162, 0.0015876706747327077, 0.00653013128152195, 504826.9881692392, 6.020209047284517e-06, 649481.323386051, 928402.7199503506, 237917.1648133512, 5.984419473347997e-06, 5.118474810904293e-06, 2.033891401972301, 0.0027660429792040614, 67858.7308540945]",70452075802.19619751,0.79227304
"[0.44190551025755664, 0.2425017344069759, 0.48639745331998574, 0.2369262572833779, 0.4199392811678262, 0.005277195832806151, 0.004663707533520644, 0.00329416043574497, 0.001944846890802166, 0.0031293367183182082, 0.00779283910556288, 519406.0569603871, 3.138162220210778e-06, 765318.927822965, 871016.6866580289, 120845.98394786993, 3.921466812972386e-06, 5.486580523595279e-06, 4.073850843338355, 0.001727268049847093, 20196.119595843666]",11495285961696.14843750,0.86689115
"[0.3651117843633208, 0.22848120950915585, 0.4724785808788536, 0.4995479573149152, 0.34876067135004113, 0.001016094808521825, 0.009928837303590458, 0.006482942040148702, 0.00036955258553866545, 0.008119778729729054, 0.008362699736927185, 485994.48783351306, 2.1990501103451404e-06, 715548.7684574904, 769725.5903735476, 268168.7741880069, 4.290111474077134e-06, 5.335325417304426e-06, 1.5214478881502593, 0.002604699757219722, 49806.6788317114]",25268680.93182625,0.93865776
"[0.4745736787017666, 0.16790508324216413, 0.28363771950769584, 0.44722794318253234, 0.31372004501948203, 0.00030190795384111104, 0.007809392268483341, 0.006018938028465928, 0.0018057762971932156, 0.005434523062965899, 0.007230170279699548, 418897.1186901049, 1.125214139165935e-06, 720691.0968233882, 837451.510313171, 219186.54572806493, 1.6843512748479725e-06, 6.847388689963927e-06, 4.0239061493502675, 0.008584207840243697, 115005.40015295404]",8321625435728.37304688,1.01173592
"[0.44760397713165867, 0.40405298373750276, 0.13680940158232952, 0.4503575984190857, 0.36310356546658323, 0.00033078685876384423, 0.008276402453935062, 0.00961989352061581, 0.000945430782609642, 0.004397151088210109, 0.002931153652203234, 497101.27339463274, 5.905732959552092e-07, 812600.438787104, 854215.6704491588, 223611.64855943905, 3.024928724097858e-06, 1.0648867199728105e-06, 1.6329744902248096, 0.00447584991047353, 108017.5131670215]",1750546514.68766260,1.08483958
"[0.2500921872371593, 0.13315927240452663, 0.191687346711171, 0.21553244532632215, 0.14350345857988311, 0.00038933026367837754, 0.009245637851979512, 0.007963198392312599, 0.0035337416905086945, 0.0033869899153993292, 0.007283496235828298, 583776.2484258802, 8.13571067795107e-06, 630110.8351158926, 839592.0394580511, 281231.6152183833, 6.300977225373776e-07, 2.3165743783432648e-06, 1.5215840466797355, 0.0013162057977705278, 48513.14075250779]",103271524.51359400,1.15531850
