params,sse,elapsed_time_s
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827044.56536496,0.50941992
"[0.33667735783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827034.13029420,0.56557393
"[0.33667734783552244, 0.006855226752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863826022.62490261,0.61659050
"[0.33667734783552244, 0.006855216752706195, 0.3408039461764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827031.44622314,0.66858172
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611981655789554, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827209.02799273,0.72469926
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548670240774007, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827311.04705846,0.78289676
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612827041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827010.52362454,0.84168601
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.005664979456084292, 0.006291148414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827275.05200100,0.89772129
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291158414260937, 0.008941159394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827495.68259573,0.95078874
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941169394919533, 0.0052582420037891025, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863827218.03429699,1.00241184
"[0.33667734783552244, 0.006855216752706195, 0.3408039361764844, 0.10611980655789555, 0.06548669240774008, 0.00612826041526198, 0.0056649694560842925, 0.006291148414260937, 0.008941159394919533, 0.005258252003789102, 0.007598546156407412, 742880.4659737253, 8.154531747224197e-06, 806154.8375505797, 186253.7126119945, 577058.1102745881, 7.443354153469322e-06, 4.096880510863539e-06, 2.280774667736949, 0.00359610553210414, 88734.75518952077]",863824105.16278493,1.05633092
