params,sse,elapsed_time_s
"[0.2311869064397644, 0.32853620052823745, 0.31565091372220855, 0.31293886558885275, 0.006771227401859941, 0.0037357129011892543, 0.003324193088005514, 0.0067168636189146895, 0.0032688151544761792, 0.008782573488616819, 0.009485294141761436, 149893.67232589383, 9.911130902701009e-06, 21330.314570921826, 173079.6744835283, 214867.56176956123, 9.519645964844562e-06, 7.927681730592322e-06, 1.1756046600715466, 0.005718301364615196, 372594.81309029646]",13140005.13462615,0.13296247
"[0.022917171870266984, 0.3285829132283157, 0.10738117799619395, 0.31298558468465265, 0.00681793744210657, 0.004682407415173648, 0.007454457826651799, 0.003413574179743603, 0.004215509331486819, 0.00972928169991791, 0.006182001313303783, 761055.3165561594, 6.656555818181526e-06, 504028.66461762786, 784241.3187137917, 826029.2059998251, 6.269125627141487e-06, 4.674701379399788e-06, 4.319834925234318, 0.009848567791022526, 855293.1631370038]",12354193212.49309731,0.16656351
"[0.15202450240031284, 0.24937379779294533, 0.46741481613589564, 0.4647027675457124, 0.1585351314790372, 0.009173310549130823, 0.004788091314687077, 0.00475445966844088, 0.008706412465443994, 0.004320169932713892, 0.007522890527291359, 582759.5056634899, 5.7288288069058795e-06, 659076.2578348257, 810825.6177474298, 647733.3951071575, 7.877501831433868e-06, 6.2849402288414e-06, 2.618868563324213, 0.007182201279057806, 10440.75635419786]",34623317875.73030853,0.19386935
"[0.49015360328073887, 0.08800288936014555, 0.0756545751768744, 0.07240556081648253, 0.1614284158318134, 0.0017023819963508525, 0.0009278547063540372, 0.006883549336449196, 0.0008724782660674008, 0.006749256281095117, 0.0036389559520733, 386198.4133295566, 5.810962878606128e-06, 180761.39753760397, 332510.75745020807, 451172.3027732223, 5.4235326875660886e-06, 3.829108439824389e-06, 1.9166083224117756, 0.0033219646707247645, 608899.554093957]",66815101.59749740,0.22164559
"[0.07572914617229415, 0.1730784322517009, 0.16019314484764052, 0.29632023855185585, 0.4896525913093097, 0.009377939312025936, 0.00896642884449664, 0.0032591012985784874, 0.008911041228339108, 0.004524813596770199, 0.008916654426805134, 68411.23770725727, 4.6290898970648975e-06, 450692.538113147, 602441.8980257511, 133385.127150923, 4.2416597060248584e-06, 2.6472354582831592e-06, 4.899146884679794, 0.001460538808867367, 801957.0366325229]",3048876022226.17041016,0.25149345
"[0.347493430328052, 0.40744314213622834, 0.4319574290033984, 0.3918458135925653, 0.12307774062124965, 0.0021422102938718564, 0.007531143340261987, 0.009323809397591925, 0.001675312210185028, 0.003089520641954948, 0.0021422439817327028, 251312.6961324066, 5.851525709318075e-06, 122749.33837743104, 800635.6098904759, 316286.58557607234, 5.464095518278036e-06, 3.869671270536337e-06, 3.699411168694496, 0.0041248097907132875, 250.74849724024534]",669720744120545.37500000,0.29084134
"[0.38275813932324143, 0.16778251808883898, 0.15489723068477862, 0.46451009685898514, 0.15834244961643906, 0.00948203909169047, 0.008195408880346264, 0.006838086202127272, 0.009015141008003642, 0.0046288984752735395, 0.009606513335687452, 125493.29657221586, 5.329570205310632e-06, 414335.89614214003, 566085.2560547441, 607873.1433407813, 4.942140014270593e-06, 8.666069495531406e-07, 4.299850985407829, 0.0006895188447169915, 765600.394661516]",640431764415.20996094,0.31888199
"[0.2996445541707661, 0.3969938402501728, 0.38410855284611245, 0.3813965117065098, 0.3535571177835294, 0.006493348877592374, 0.0054100758917738695, 0.005602753642481839, 0.005354688275616338, 0.0016402231623366358, 0.001692937416074311, 704511.3562835306, 6.079639711557248e-06, 333623.2723568082, 727697.3584411591, 527160.5195554495, 2.537912860002573e-06, 4.097785272775509e-06, 3.1333905458450317, 0.008475948374433804, 684887.7708761841]",3288855427832.20898438,0.35070276
"[0.03315057722652959, 0.13049987075651692, 0.1953213185626419, 0.19260927742303924, 0.30823490242088847, 0.004906112458657249, 0.0005878646348857839, 0.006187274656161678, 0.0005324844693088491, 0.0060462419365787485, 0.008955701789721859, 424954.5804962963, 9.862980993397419e-06, 296391.22274132073, 34037.51794720441, 489928.46993996203, 9.47555080235738e-06, 7.88112655461568e-06, 4.5190683379769325, 0.00688871195549868, 647655.7212606966]",23510772448361.06250000,0.37998414
"[0.2518713281104469, 0.336809889003091, 0.33633533423637385, 0.3336232930967712, 0.015044916942172193, 0.004809402158328467, 0.004397880514928274, 0.0010012833790509544, 0.004342504074641638, 0.009856261541911535, 0.0037697179631917322, 776393.769599583, 5.0412614528836585e-06, 426893.91075534374, 799579.7717572153, 841367.6590432487, 4.6538312618436194e-06, 9.896594234482753e-06, 2.272878348827362, 0.0039027165759293087, 778158.4092747197]",13118410.11700251,0.41123104
"[0.05946009643265626, 0.03299646808187762, 0.14392409510800264, 0.14121205396839998, 0.2107314960209588, 0.0031981583008338994, 0.0027866329321434087, 0.0013878641795793455, 0.002731260217147071, 0.00484284164294511, 0.0017584704222573576, 346915.7101883441, 7.501322947290437e-06, 447972.32244192436, 167540.92357490957, 862446.0707298294, 7.113892756250398e-06, 2.3691014964847724e-06, 4.213467106223106, 0.002291467345671851, 799236.8209613003]",89354978045182.17187500,0.43828869
"[0.1536512410102795, 0.204273694835299, 0.20379913755475854, 0.2354031985460232, 0.41632482117995717, 0.0009732111107354231, 0.002477778255642431, 0.007331188335362634, 0.0024224055406460933, 0.006020070494318492, 0.00014961546892281458, 363278.0338794887, 6.187860472162566e-06, 179400.85671915114, 552086.7177210227, 593874.6050070524, 6.2195122509000035e-06, 1.0481884407599774e-06, 4.718842156231403, 0.0019826126691708736, 365042.6735546291]",21719548526187164.00000000,0.47999287
"[0.3562689991611424, 0.45357896119333657, 0.4407329978364888, 0.45039236277319344, 0.11944257933082014, 0.0009784795489095686, 0.0007955367806657995, 0.006820359918419524, 0.00051158146522274, 0.006025338932492638, 0.004367373855075634, 856685.3399972469, 7.185509478340705e-06, 125384.19952441007, 879871.3421548754, 921659.2294409126, 6.067502839459293e-07, 2.0532880275350404e-06, 1.5616474151611328, 0.0003003711941942418, 476648.698043786]",25940401.86147995,0.52800775
"[0.3699963854493714, 0.36663036406883465, 0.3661558067882942, 0.4517483504356957, 0.13316998052021034, 0.005934456594832357, 0.006318363697711699, 0.008176340904710607, 0.006262983532134764, 0.0010813159784154233, 0.0009947754888513848, 345354.4037246406, 8.342386045032693e-06, 864253.8950758204, 237039.7560776919, 410328.29316830635, 7.954955853992654e-06, 3.202714013630104e-06, 2.7571988254785538, 0.005027773090250904, 215618.3935951963]",329267636890.25524902,0.56246543
