params,sse,elapsed_time_s
"[0.4673869670709781, 0.0033234327399427567, 0.11800955497501014, 0.45521679654059677, 0.21871125642065745, 0.001355251096333501, 0.009947571526813252, 5.08460904578524e-05, 0.004818069722498526, 0.007086165600531023, 0.005153725307642732, 711391.7637116243, 8.513489018691389e-06, 539412.3244932625, 481053.7888539005, 360060.97149228887, 4.008403942446505e-07, 2.3554706358645386e-06, 2.611883353154713, 0.0007424080978546781, 882963.7584177002]",487006894276.70458984,0.52278638
"[0.21346168108445246, 0.007301743722839824, 0.45038477934134086, 0.37995223462790184, 0.10852893727893823, 0.0007696525300252444, 0.0062929418177460755, 0.004518675519266098, 0.0013288405664810899, 0.0031509235714467913, 0.009118177313731187, 623331.036757281, 8.567719462506606e-06, 432094.6795635048, 456090.52147571626, 374882.75182606035, 1.7030344601592042e-06, 7.058996711051361e-06, 1.70607283964517, 0.001010310061880257, 773999.9024471662]",546841780.71848130,0.57966208
"[0.2823471186710778, 0.0033813649909322538, 0.07289347960478895, 0.0872930819628226, 0.4138567290044686, 0.007231070820385545, 0.009999187105386683, 0.000940512406698362, 0.00739393375209154, 0.006094042328718097, 0.007241045551890373, 736635.5310162237, 7.129402022876084e-06, 536548.2369504533, 410093.2776510808, 476414.69905703526, 2.999767731423987e-08, 5.412407525881036e-06, 1.6469657648429985, 0.0012733319814202957, 778783.9305729944]",1103926076.54484272,0.64409852
"[0.46858749791655435, 0.007531908683275627, 0.0014638037276832516, 0.188775953543712, 0.17523914164279328, 0.0009032073949711751, 0.008782485354443178, 0.0059447971628677695, 0.001558753144014268, 0.005707804067400319, 0.009554966698171097, 811078.9972816308, 6.9229661526484466e-06, 574727.2351891936, 539250.9232175973, 435079.2277486963, 1.2478130690854902e-06, 3.723130566828679e-06, 3.5417219247455667, 0.0005079916367304597, 729742.7384317865]",21404272525345.41406250,0.71421051
"[0.1551262669316926, 0.0005443582517159077, 0.06264307670744257, 0.48572062187919085, 0.48501659474433423, 0.0027092000302609866, 0.009968084908785448, 0.0034237429381236755, 0.0020833578622908716, 0.005122744769292246, 0.004994698105350101, 718277.0277617839, 9.99226348447061e-06, 606693.2344985183, 475139.41621112777, 418468.891729439, 1.966337410964773e-07, 2.9618792129737795e-06, 2.7875120077686386, 0.0006470827447211605, 813659.8807406803]",75610234055249.92187500,0.78178740
"[0.0929476813896391, 0.2893907789977282, 0.13865952100927242, 0.4264889381318714, 0.27378882967132234, 0.0009195200516975203, 0.009999964377072589, 0.004539293782904961, 0.0034748119332880193, 0.002011516146562133, 0.007438590660901549, 722926.2261781507, 6.331572186795726e-06, 516393.1150145678, 599517.8625005863, 423322.1681530385, 1.848735980382799e-07, 3.6727916529922297e-06, 2.3961279334081476, 0.00017528009110352375, 831216.522349488]",9544974478.86171150,0.86172628
"[0.269120946177101, 0.11214634157405398, 0.2730843783736955, 0.43473447316819197, 0.24734943616327923, 0.0008227929872914563, 0.009622173729847703, 0.0022690106043795595, 0.00048185162488813195, 0.0009806288723362116, 0.007208150264435793, 642053.1954582239, 2.026522900803138e-06, 577188.7691833616, 453180.3627948426, 476087.41600882215, 4.365679142586405e-08, 3.740440057323196e-07, 0.5650828032692555, 0.00010262994656920925, 768440.8759904173]",14526321.61397139,0.93579960
"[0.05065871044227266, 0.015371552151773622, 0.04441347570279103, 0.3899214179382494, 0.0514244251770799, 0.0010507816440567628, 0.009916585992366115, 0.004653401752456547, 0.0068992162665363135, 0.001406924396812964, 0.008625664769182997, 793399.5436296571, 9.251486718778548e-06, 499655.0494496052, 520012.31246897095, 557268.6358055526, 8.261757852804074e-07, 3.2286776274176118e-06, 3.868629196003391, 0.00013459915438234903, 819411.677195678]",59036109812723.22656250,1.00295162
"[0.0178821225139985, 0.006243006994108218, 0.0038802955290955106, 0.41952824045304943, 0.33491855989238706, 0.0034358786734514568, 0.009143186936215242, 0.001577957820039259, 0.004637538243029833, 0.0069847279913113555, 0.0030764113986452477, 761194.8212515444, 6.189389861942696e-06, 577906.325056294, 513398.67169046163, 519131.9392699924, 9.931399053883281e-08, 1.338136176661811e-08, 0.7545961109540232, 0.0008618424193344773, 769337.6441483372]",13244339511.42362976,1.06914330
"[0.37723832793663037, 0.0973692696012126, 0.007465984417172434, 0.49842828264484856, 0.2156352267122377, 0.00026275351834766157, 0.00830417248016799, 5.7554237410206916e-05, 0.0036697297424670068, 0.007879871119289018, 0.0073526002227258655, 621407.291862882, 9.295246423266187e-06, 469167.83179398964, 415529.52413880336, 425031.47547659, 6.491074187214193e-07, 2.774849206736777e-06, 3.416345896196045, 0.00010000250327401182, 774464.3498854303]",6406564647371.82519531,1.14930320
