params,sse,elapsed_time_s
"[0.24434509846222177, 0.025243383685195315, 0.42799227344654295, 0.026149601154946692, 0.34424018972076253, 0.005809068155171502, 0.0018057443211776268, 0.0059284685931268455, 0.004559022492036712, 0.009727164778893623, 0.0025025445686856747, 461910.5011120437, 6.70598015217407e-06, 211650.13944193852, 696835.4901912842, 546547.4603082966, 8.660923444500825e-06, 5.97290126539318e-06, 4.084451416957327, 0.007403097929625691, 249710.36383721043]",2412052159490.02441406,0.02685905
"[0.042619622769103804, 0.1860531195033912, 0.22626679343198375, 0.3239241247794492, 0.14251471263383464, 0.009283578819030794, 0.0006154807019778444, 0.0016029922606735413, 0.0033687608051844787, 0.003301675242179902, 0.0036122809210958396, 908826.2738865614, 9.281805937831564e-06, 789523.1867516711, 274808.53750101477, 124520.5076180324, 9.367839774963234e-06, 6.685630760070656e-06, 0.6317611485719681, 0.0009776007354202587, 827583.4111469463]",12907368.36448046,0.05726671
"[0.10496680146821236, 0.2484002978242228, 0.2886139721310923, 0.38627130991585945, 0.40929824415234545, 0.007867109419503332, 0.0008626491987612651, 0.004400174542010462, 0.0019522927866364732, 0.003548851724853794, 0.006409462018550074, 68502.13673374057, 8.861188447422127e-06, 361226.98953520134, 434384.4003481865, 284096.370465219, 9.949271410702904e-06, 6.268386399692634e-06, 0.9345446787774563, 0.0012247772180941508, 987159.273994118]",13037772.91362661,0.08132076
"[0.28290056019396526, 0.4263340565499757, 0.4665477308568452, 0.0647050611910317, 0.3827956500586961, 0.008364513956880615, 0.009596415358161975, 0.0011088357336664827, 0.0024496954613686087, 0.0023826104336739065, 0.0031181241415286693, 274742.8310424043, 7.477642452204324e-07, 155439.74390751403, 769364.3037819527, 490337.0647738753, 8.334459220850565e-07, 6.119219797850102e-06, 1.8980420865118504, 0.009958535926914263, 322239.1774278842]",53831043.46784066,0.11291814
"[0.17445590383498422, 0.123636691918115, 0.1638503657593232, 0.26150769702483234, 0.27435099369971505, 0.0017671509301216421, 0.002999052797064287, 0.002786564586677842, 0.005752332900270922, 0.003737957477079843, 0.004795853227370672, 462353.8289701338, 7.54305857098537e-06, 343050.74183524353, 920667.7178372964, 677948.0627016048, 4.70186019764136e-07, 7.777977004871559e-06, 4.686844720970839, 0.0014138829703201998, 381110.96623051865]",536058309733154.31250000,0.14209819
"[0.4596606493069868, 0.2630288983823684, 0.30324257268923793, 0.2414651503040533, 0.21949049189108882, 0.008724607365155406, 0.0019912571466402904, 0.0008287699539519438, 0.0028097888696433982, 0.004677452222152223, 0.0028380574304915558, 932352.4768623412, 2.1195477925569304e-06, 550353.0362926982, 35638.38704204187, 148046.71059381217, 2.2052294694215545e-06, 5.1751274793040925e-06, 0.9813021756708622, 0.002353377715392579, 851109.614122726]",13483766.87696033,0.17257690
"[0.16361189271993692, 0.30704538907594736, 0.34725906338281687, 0.21782082290800397, 0.03641141177566831, 0.0003802821859998802, 0.0010077482401055118, 0.003895260898998476, 0.004365459965197574, 0.004298374937502872, 0.000758981437834974, 968443.8372832611, 7.26694323910979e-07, 849140.7501483709, 481922.51749328524, 331634.48761030287, 9.862406265077308e-06, 7.18019725018473e-06, 2.1117534190416336, 0.0013698688088578006, 34797.39113921672]",391975583.68621898,0.20307946
"[0.007233964271455728, 0.15066746062746617, 0.19088113493433567, 0.18121130014881953, 0.10712905413618656, 0.008997906557132741, 0.0003298116837043968, 0.0056673371450914525, 0.003083099237491628, 0.009988852110144348, 0.007676624621631064, 902157.3465009034, 3.617614864984412e-06, 782854.2593660057, 155560.70778819174, 117851.58023238182, 3.699571251550574e-06, 1.017362236657996e-06, 2.8020483255386353, 0.0006919397030372826, 708335.5814341232]",71242986.32167564,0.22780609
"[0.3153439397644374, 0.2088630496326549, 0.2490767239395244, 0.09714844076150397, 0.41523902962916825, 0.002393511433879538, 0.0036254128351608955, 0.005077306473814261, 0.00637869293836753, 0.009625989122362512, 0.005522211471751198, 476478.00119649246, 2.055734665253747e-06, 357174.9140616022, 842360.2648109458, 692072.2349279635, 6.682244747820107e-06, 4.000035732927529e-06, 3.3590710796415806, 0.003987533403913185, 508320.7528712619]",5961053284.33306694,0.25223970
"[0.05801187188986623, 0.20144536824587667, 0.3576411535232494, 0.3393163728869327, 0.27388907272510027, 0.0003758264017466254, 0.007789841237920794, 0.0017773551789295238, 0.004361007906234618, 0.004293922878539916, 0.003786642655469136, 831541.1192609221, 5.161873698159531e-06, 712238.0321260318, 748523.5483932644, 598235.518510282, 7.025974886466492e-06, 4.343765871573914e-06, 2.977135509252548, 0.0019698483717802717, 301398.4220391959]",153233865914.87915039,0.28401113
