params,sse,elapsed_time_s
"[0.45340528176170164, 0.008710698205928956, 0.44580064412135384, 0.1272714574287731, 0.4506266304462456, 0.003342850653441119, 0.0033763376693405093, 0.008655667692403342, 0.00027198267763505987, 0.008712225879995936, 0.009625220395414932, 486708.3889697745, 9.953039807083786e-06, 669744.2527493923, 663042.5998409203, 539158.8762187551, 8.016746314466602e-06, 3.8943627880586984e-08, 2.2912347865385745, 0.009782237246691373, 359428.4057299262]",5378390653.79329014,0.51672220
"[0.397831071671344, 0.13012081210964455, 0.48388887633429434, 0.21824296133257667, 0.0006928391306206753, 0.0029620095137970126, 0.00033057006893713993, 0.0030825335703890218, 0.0003841254626740324, 0.0007292365789700833, 0.009961242764258858, 471383.2458798783, 8.258886012103833e-06, 726958.5209711284, 587505.606974873, 487075.60059090605, 3.162403549678821e-06, 7.79707987307642e-07, 2.818612049916268, 0.006803134760691864, 323255.5698851205]",12355673.15700020,0.57803035
"[0.4888942391646469, 0.0764918571929428, 0.3492248587890582, 0.31299677220792194, 0.3060961541808251, 0.009976947965850318, 0.0003787029622395606, 0.009548151164885131, 0.001505650313938573, 0.0034436233123615635, 0.008956738132310807, 584432.6971809615, 9.91735159094686e-06, 739010.6273455955, 592656.200814146, 503797.18314578687, 5.484592666357158e-06, 5.637763095532901e-07, 4.999999202223447, 0.008793026246377286, 324589.6157235894]",810909426756237.87500000,0.64888120
"[0.4805111640176771, 0.11601813899830156, 0.4425172581543293, 0.15586785816156284, 0.4857389878364384, 0.004401686876430713, 0.001218416974187223, 0.008681335743255194, 0.002040191350149096, 0.005068932215183581, 0.007976485979042307, 546155.0966641366, 9.965416839179264e-06, 714608.7100123069, 571160.5817056091, 512394.66968840326, 3.46165926674652e-06, 3.1572866887761684e-08, 1.3010507170695687, 0.007714809247199181, 344899.4011896786]",15505014.01650106,0.71462011
"[0.4207881677652009, 0.04442906760150772, 0.057167880900277857, 0.4348461315306087, 0.24758286586036105, 0.008446074311469175, 0.0023836885758350135, 0.0059748173775844024, 0.0003523008794268333, 0.0032697036032774147, 0.009998788740558921, 400903.08419221075, 9.85287382107862e-06, 655983.8358025044, 551214.3242516116, 558209.4821410457, 1.6739275010418499e-06, 1.1512865701893854e-08, 3.8594319115746925, 0.007974440706710207, 314628.60500130244]",139284024179112.29687500,0.77228284
"[0.28061689132572815, 0.06116079120729076, 0.27518444152882493, 0.1831153061428823, 0.22098780101819832, 0.009844810013527244, 0.0019787724633088624, 0.009997022442389243, 0.0038129075932924177, 0.002408904182410608, 0.009584492268652291, 376594.1576584521, 9.901587855280407e-06, 665647.2287638986, 507283.2128440276, 637068.8834021509, 8.847577226629576e-06, 7.826383813176849e-07, 3.466234298595682, 0.00655334873240471, 350468.3406809454]",329133018230.90673828,0.82750130
"[0.2941219497036415, 0.12949494203420536, 0.2783066417946203, 0.4519175290841751, 0.060527191164088334, 0.004995313851588211, 0.0036997691885189057, 0.009965438631551313, 0.0014110354182049962, 0.00156133227283087, 0.008388090391901236, 395372.6386177245, 7.506859071139169e-06, 792230.622021228, 647233.1325259645, 573671.0112253919, 1.3661734618319856e-07, 1.9742655266906385e-06, 4.829250623524291, 0.008232571969775459, 369202.03209859645]",57006052945266.99218750,0.88492703
"[0.4825143093177096, 0.033670859692546, 0.24959465358755367, 0.10423224077981524, 0.33584948261447856, 0.005837418610546137, 0.0020308728014493678, 0.0063440842312930505, 0.0015801189018200966, 0.003095968069638052, 0.009975914565359189, 391923.6982666633, 9.86249893622287e-06, 760790.2220376638, 435059.80928042467, 581897.760152865, 6.350939436805986e-07, 1.0008671359866287e-08, 4.970418226602933, 0.009226033739541001, 291197.41019187955]",625210711205682.75000000,0.94290900
"[0.2276167450299033, 0.08099186688275319, 0.10626269584263548, 0.47467208589201837, 0.2766417200893504, 0.009066285294156954, 0.0030350310578936587, 0.006467977975012144, 0.0014529416253114685, 0.0009568748249003136, 0.008500789599559277, 389331.7888191456, 6.820451436979457e-06, 745048.121051111, 628703.9933965363, 544732.032338529, 1.9956364869366728e-06, 3.311499600286449e-07, 4.685795554693116, 0.009680904581518322, 273585.69649736537]",9978539171348042.00000000,1.01344609
"[0.4219337689568057, 0.0008156728656102423, 0.04684221056389215, 0.19487909636841852, 0.23095457867237928, 0.006410145878357929, 0.0023881768815135723, 0.007692921863639242, 0.0017528897040866612, 0.0003245786255724588, 0.008167213316858934, 488795.4811207649, 7.76841938544715e-06, 789138.6641825922, 533481.923749274, 624368.9791605275, 1.9267566828388516e-06, 1.2031647345849291e-08, 4.862914936224266, 0.00999801712558222, 282159.1548468818]",37154482396575399936.00000000,1.08084011
"[0.4629413437845388, 0.2767910614789734, 0.49914919397050145, 0.37427666150522587, 0.001114315118241658, 0.003256499870892103, 0.0015539434485305466, 0.009512862854348951, 0.0008563276015845096, 0.0005796022237736068, 0.009988845358098247, 359879.3410531758, 9.43750947721689e-06, 685129.8649730084, 658727.5611369305, 555388.1630416769, 3.0282177542556687e-06, 2.132876303428408e-07, 1.4185877472608288, 0.008458676198508888, 269394.39256661135]",13073135.05832577,1.14235473
"[0.3554991881730217, 0.2132505270889507, 0.4610260348465192, 0.4817695259652728, 0.33536850324708234, 0.009003579758485526, 0.006689996765570749, 0.008408236421499769, 0.00011593666632480346, 0.0019269523233423414, 0.008933441371818573, 279082.2063664373, 9.651103441757973e-06, 761795.2774855762, 519291.7944912593, 623177.3055769504, 5.043590815718396e-06, 2.5588578904921714e-07, 2.3899583006562763, 0.00974189242180261, 303077.8045263714]",2882632406.65941763,1.20748997
