params,sse,elapsed_time_s
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465574977.50169897,0.51830602
"[0.4357791937167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465574984.14117885,0.58037210
"[0.4357791837167848, 0.25061071771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465574881.94855332,0.64180541
"[0.4357791837167848, 0.25061070771116256, 0.19955158036713294, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465574871.99962902,0.70635700
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698503182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465575038.02804327,0.77200317
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.42611093075356077, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465575046.48526263,0.83549070
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107208726923421, 0.009302836296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465574484.17602396,0.89844465
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302846296073452, 0.008708749203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465575419.82890511,0.96289515
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708759203476985, 0.000611548312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465576295.19888711,1.02413726
"[0.4357791837167848, 0.25061070771116256, 0.19955157036713295, 0.4856698403182137, 0.4261109207535608, 0.0008107108726923421, 0.009302836296073452, 0.008708749203476985, 0.000611558312411427, 0.0038433524313158103, 0.00632851841888858, 488661.11719891767, 3.3781989043571755e-06, 724718.7151204468, 862045.7239403314, 212039.20945545853, 3.303097764816187e-06, 4.881300688303228e-06, 1.3246860381365386, 0.00456415483818674, 19184.452066624268]",1465575760.04746485,1.08403063
