optimizer,category,rmse_use,mase,optimizer_name
basin_hopping,lshade,56.63018594667614,0.37221590460584947,Basin Hopping
dual_annealing,lshade,32.64453642159278,0.35718140031109413,Dual Annealing
basin_hopping,lshade,44.76982559944682,0.30173177063507794,Basin Hopping
cmaes,lshade,67.2539638207503,0.41241727311970033,CMA-ES
cmaes,basin_hopping,34.75214137863925,0.4312635971459181,CMA-ES
dual_annealing,basin_hopping,96.40402638580568,0.4342572402371587,Dual Annealing
basin_hopping,dual_annealing,32.727716378540464,0.3523107689814286,Basin Hopping
basin_hopping,dual_annealing,44.33507341530741,0.2703955009219315,Basin Hopping
lshade,cmaes,54.8279390851009,0.41860366299771634,L-SHADE
cmaes,lshade,43.58789723984891,0.34508296692070156,CMA-ES
lshade,pso,28.709974933230857,0.24972366733592594,L-SHADE
dual_annealing,pso,157.03199295673315,0.3139802237205598,Dual Annealing
lshade,dual_annealing,34.99149311895944,0.3005154186282609,L-SHADE
dual_annealing,lshade,133.67531635610376,0.46459015937243014,Dual Annealing
basin_hopping,lshade,35.387929374251,0.35945467767682115,Basin Hopping
dual_annealing,lshade,57.10731211585903,0.3753934832543794,Dual Annealing
basin_hopping,dual_annealing,70.20806593039372,0.3867087062681244,Basin Hopping
lshade,dual_annealing,30.157980375145723,0.3248019652259681,L-SHADE
basin_hopping,cmaes,75.87702776713243,0.33241044093812444,Basin Hopping
basin_hopping,cmaes,51.99258976599342,0.4552267878857495,Basin Hopping
basin_hopping,pso,28.774104589721514,0.36309511636010244,Basin Hopping
dual_annealing,basin_hopping,153.55381980045152,0.37362787428258765,Dual Annealing
dual_annealing,lshade,67.61476039085886,0.36273711264741,Dual Annealing
basin_hopping,dual_annealing,55.945782362334704,0.39621933199557025,Basin Hopping
pso,cmaes,177.7225618495738,0.38134709505972386,PSO
pso,lshade,154.50414382882994,0.42554986419796653,PSO
cmaes,pso,28.68453662583849,0.24700198632545545,CMA-ES
basin_hopping,dual_annealing,33.46518625118168,0.4867483291933807,Basin Hopping
lshade,dual_annealing,46.573420248925494,0.36553002579938,L-SHADE
lshade,basin_hopping,52.96992822529174,0.46939627644556126,L-SHADE
pso,cmaes,217.93822230574565,0.42604211712058404,PSO
pso,basin_hopping,142.10533084890497,0.3532953719119223,PSO
pso,basin_hopping,246.29930276744264,0.47252922498659755,PSO
basin_hopping,dual_annealing,59.93670233425911,0.39648308136940097,Basin Hopping
pso,dual_annealing,248.86553050272184,0.3646989208620644,PSO
dual_annealing,basin_hopping,131.4637341417582,0.44764129102807443,Dual Annealing
dual_annealing,pso,33.72575975339504,0.28783178993646324,Dual Annealing
basin_hopping,cmaes,53.80036538059336,0.32348892758224845,Basin Hopping
basin_hopping,dual_annealing,29.88938612041265,0.3962866046867983,Basin Hopping
pso,lshade,197.88194137258404,0.345684764187666,PSO
cmaes,lshade,35.2671455795947,0.38009127361578426,CMA-ES
pso,dual_annealing,180.04954117797627,0.38611422132095374,PSO
pso,dual_annealing,159.8660877276928,0.3027706768271744,PSO
lshade,dual_annealing,38.05603301356176,0.31045942076112504,L-SHADE
lshade,dual_annealing,34.44550357513519,0.3165610057335656,L-SHADE
dual_annealing,basin_hopping,123.87136506318832,0.41827663287783856,Dual Annealing
basin_hopping,pso,34.05797085223069,0.3562463781633101,Basin Hopping
basin_hopping,cmaes,65.70228086585236,0.2937751319311266,Basin Hopping
pso,dual_annealing,220.48429903820553,0.3366094638498853,PSO
cmaes,basin_hopping,37.79204248824114,0.29850503521389876,CMA-ES
basin_hopping,lshade,33.220959615912555,0.2996692015389799,Basin Hopping
lshade,cmaes,54.139241043148544,0.31511911632355155,L-SHADE
lshade,pso,33.7373023470502,0.22330649476708575,L-SHADE
pso,basin_hopping,231.03991043399486,0.47960279369824915,PSO
pso,cmaes,169.9001976945939,0.3646582778968107,PSO
