optimizer_key,optimizer,median_rmse,rmse_ci_lo,rmse_ci_hi,median_mase,mase_ci_lo,mase_ci_hi,n_rmse_runs,n_mase_runs_excl_own
basin_hopping,Basin Hopping,40.06885675335439,36.450934311201365,43.97203768835989,0.3605115651785283,0.3453911089413917,0.37946230543698695,150,120
cmaes,CMA-ES,34.66073808566114,33.750347862775754,37.1574184135809,0.37106464094540137,0.35766983536656954,0.39439443512930433,150,120
dual_annealing,Dual Annealing,78.79749460825172,67.81684113954215,102.38589069710773,0.36542561831649645,0.35046923592203516,0.3802519696755737,150,120
lshade,L-SHADE,37.574516788515204,36.44857969007589,40.41273217819493,0.3762939134713374,0.3508421844497026,0.39860728591524686,150,120
pso,PSO,177.85321297862012,164.71245140569388,184.27454492614774,0.38134709505972386,0.36669197844295126,0.39546977661296756,150,120
