optimizer_key,optimizer,median_rmse,median_mase,n_rmse_runs,n_mase_runs_excl_own
basin_hopping,Basin Hopping,40.06885675335439,0.3605115651785283,150,120
cmaes,CMA-ES,34.66073808566114,0.37106464094540137,150,120
dual_annealing,Dual Annealing,78.79749460825172,0.36542561831649645,150,120
lshade,L-SHADE,37.574516788515204,0.3762939134713374,150,120
pso,PSO,177.85321297862012,0.38134709505972386,150,120
